Pitch,Durations
15,5
15,5
15,3
15,3
15,5
26,5
26,5
26,3
26,3
26,5
26,5
26,5
26,3
26,3
26,5
26,5
26,5
26,3
26,3
26,5
26,5
26,5
26,3
26,3
26,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,3
11,3
11,5
15,5
15,5
15,3
15,3
15,5
15,5
15,5
15,3
15,3
15,5
15,5
15,5
15,3
15,3
15,5
15,5
15,5
15,3
15,3
15,5
22,5
22,5
22,3
22,3
22,5
22,5
22,5
22,3
22,3
22,5
22,5
22,5
22,3
22,3
22,5
22,5
22,5
22,3
22,3
22,5
26,5
26,5
26,3
26,3
26,5
26,5
26,5
26,3
26,3
26,5
26,5
26,5
26,3
26,3
26,5
26,5
26,5
26,3
26,3
26,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,3
11,3
11,5
15,5
15,5
15,3
15,3
15,5
15,5
15,5
15,3
15,3
15,5
15,5
15,5
15,3
15,3
15,5
15,5
15,5
15,3
15,3
15,5
22,5
22,5
22,3
22,3
22,5
22,5
22,5
22,3
22,3
22,5
22,5
22,5
22,3
22,3
22,5
22,5
22,5
22,3
22,3
22,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
25,5
29,5
16,5
13,5
16,8
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
25,5
29,5
16,5
13,5
16,8
13,8
16,8
11,5
11,5
11,5
11,5
11,5
11,5
25,5
29,5
16,5
13,5
16,8
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
25,5
29,5
16,5
13,5
16,8
26,8
4,8
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
25,5
29,5
16,5
13,5
16,8
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
25,5
29,5
16,5
13,5
16,8
13,8
16,8
11,5
11,5
11,5
11,5
11,5
11,5
25,5
29,5
16,5
13,5
16,8
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
25,5
29,5
16,5
13,5
16,8
26,8
16,8
26,3
26,3
26,5
26,3
26,3
26,5
26,3
26,3
26,5
26,3
26,3
26,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
8,3
8,3
8,5
8,3
8,3
8,5
8,3
8,3
8,5
11,5
15,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
26,3
26,3
26,5
26,3
26,3
26,5
26,3
26,3
26,5
26,3
26,3
26,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
8,3
8,3
8,5
8,3
8,3
8,5
8,3
8,3
8,5
11,5
15,5
11,3
11,3
11,5
11,3
11,3
22,5
22,3
22,3
22,5
22,3
22,3
22,5
26,3
26,3
26,5
26,3
26,3
26,5
26,3
26,3
26,5
26,3
26,3
26,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
8,3
8,3
8,5
8,3
8,3
8,5
8,3
8,3
8,5
11,5
15,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
26,3
26,3
26,5
26,3
26,3
26,5
26,3
26,3
26,5
26,3
26,3
26,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
8,3
8,3
8,5
8,3
8,3
8,5
8,3
8,3
8,5
11,5
15,5
11,3
11,3
11,5
11,3
11,3
22,5
22,3
22,3
22,5
22,3
22,3
22,5
26,3
26,3
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
23,8
26,5
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
9,8
26,3
26,3
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
23,8
26,5
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
30,8
26,3
26,3
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
23,8
26,5
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
9,8
26,3
26,3
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
23,8
26,5
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
9,8
22,7
11,7
11,3
11,1
11,3
30,2
11,4
30,1
11,4
11,4
11,4
30,1
11,3
11,1
11,3
30,2
11,3
11,1
11,3
30,2
11,4
30,1
11,4
15,7
11,7
11,3
11,1
11,3
30,2
11,4
30,1
11,4
3,7
1,7
22,7
9,7
20,4
20,4
30,1
20,3
20,1
20,3
30,2
20,3
20,1
20,3
30,2
20,4
30,1
20,4
20,4
20,4
30,1
20,3
20,1
20,3
30,2
20,3
20,1
20,3
30,2
20,4
30,1
20,4
15,4
15,4
30,1
15,3
15,1
15,3
30,2
15,3
15,1
15,3
30,2
15,4
30,1
15,4
15,4
15,4
30,1
15,3
15,1
15,3
30,2
15,3
15,1
15,3
30,2
15,4
30,1
15,4
22,7
11,7
11,3
11,1
11,3
30,2
11,4
30,1
11,4
11,4
11,4
30,1
11,3
11,1
11,3
30,2
11,3
11,1
11,3
30,2
11,4
30,1
11,4
15,7
11,7
11,3
11,1
11,3
30,2
11,4
30,1
11,4
3,7
1,7
22,7
9,7
20,4
20,4
30,1
20,3
20,1
20,3
30,2
20,3
20,1
20,3
30,2
20,4
30,1
20,4
20,4
20,4
30,1
20,3
20,1
20,3
30,2
20,3
20,1
20,3
30,2
20,4
30,1
20,4
15,4
15,4
30,1
15,3
15,1
15,3
30,2
15,3
15,1
15,3
30,2
15,4
30,1
15,4
15,4
15,4
30,1
15,3
15,1
15,3
30,2
15,3
15,1
15,3
30,2
15,4
30,1
15,4
22,7
11,7
11,3
11,1
11,3
30,2
11,4
30,1
11,4
11,4
11,4
30,1
11,3
11,1
11,3
30,2
11,3
11,1
11,3
30,2
11,4
30,1
11,4
15,7
11,7
11,3
11,1
11,3
30,2
11,4
30,1
11,4
3,7
1,7
22,7
9,7
20,4
20,4
30,1
20,3
20,1
20,3
30,2
20,3
20,1
20,3
30,2
20,4
30,1
20,4
20,4
20,4
30,1
20,3
20,1
20,3
30,2
20,3
20,1
20,3
30,2
20,4
30,1
20,4
15,4
15,4
30,1
15,3
15,1
15,3
30,2
15,3
15,1
15,3
30,2
15,4
30,1
15,4
15,4
15,4
30,1
15,3
15,1
15,3
30,2
15,3
15,1
15,3
30,2
15,4
30,1
15,4
22,7
11,7
11,3
11,1
11,3
30,2
11,4
30,1
11,4
11,4
11,4
30,1
11,3
11,1
11,3
30,2
11,3
11,1
11,3
30,2
11,4
30,1
11,4
15,7
11,7
11,3
11,1
11,3
30,2
11,4
30,1
11,4
3,7
1,7
22,7
9,7
20,4
20,4
30,1
20,3
20,1
20,3
30,2
20,3
20,1
20,3
30,2
20,4
30,1
20,4
20,4
20,4
30,1
20,3
20,1
20,3
30,2
20,3
20,1
20,3
30,2
20,4
30,1
20,4
15,4
15,4
30,1
15,3
15,1
15,3
30,2
15,3
15,1
15,3
30,2
15,4
30,1
15,4
15,4
15,4
30,1
15,3
15,1
15,3
30,2
15,3
15,1
15,3
30,2
15,4
30,1
15,4
11,5
11,22
5,5
5,22
20,5
20,22
6,5
6,22
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
4,3
2,3
23,3
10,3
19,3
23,5
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
23,3
19,3
9,3
29,3
9,7
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
4,3
2,3
23,3
10,3
19,3
23,5
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
23,3
19,3
9,3
29,3
9,7
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
4,3
2,3
23,3
10,3
19,3
23,5
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
23,3
19,3
9,3
29,3
9,7
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
4,3
2,3
23,3
10,3
19,3
23,5
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
23,3
19,3
9,3
29,3
9,7
26,5
26,5
26,3
26,3
26,5
26,5
26,5
26,3
26,3
26,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,3
11,3
11,5
24,5
24,5
24,3
24,3
24,5
24,5
24,5
24,3
24,3
24,5
15,5
15,5
15,3
15,3
15,5
15,5
15,5
15,3
15,3
15,5
26,5
26,5
26,3
26,3
26,5
26,5
26,5
26,3
26,3
26,5
26,5
26,5
26,3
26,3
26,5
26,5
26,5
26,3
26,3
26,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,3
11,3
11,5
15,5
15,5
15,3
15,3
15,5
15,5
15,5
15,3
15,3
15,5
15,5
15,5
15,3
15,3
15,5
15,5
15,5
15,3
15,3
15,5
22,5
22,5
22,3
22,3
22,5
22,5
22,5
22,3
22,3
22,5
22,5
22,5
22,3
22,3
22,5
22,5
22,5
22,3
22,3
22,5
26,5
26,5
26,3
26,3
26,5
26,5
26,5
26,3
26,3
26,5
26,5
26,5
26,3
26,3
26,5
26,5
26,5
26,3
26,3
26,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,3
11,3
11,5
15,5
15,5
15,3
15,3
15,5
15,5
15,5
15,3
15,3
15,5
15,5
15,5
15,3
15,3
15,5
15,5
15,5
15,3
15,3
15,5
22,14
9,14
1,14
3,18
11,3
11,3
11,3
11,3
13,8
23,5
3,3
3,3
3,3
3,3
11,3
11,3
11,3
11,3
11,3
11,3
9,8
16,5
24,3
24,3
24,3
24,3
11,3
11,3
11,3
11,3
11,3
11,3
13,8
23,5
3,3
3,3
3,3
3,3
26,3
26,3
26,3
26,3
26,3
26,3
13,8
16,5
24,3
24,3
24,3
24,3
11,3
11,3
11,3
11,3
11,3
11,3
13,8
6,5
20,3
20,3
20,3
20,3
11,3
11,3
11,3
11,3
11,3
11,3
13,8
23,5
3,3
3,3
3,3
3,3
11,3
11,3
11,3
11,3
11,3
11,3
13,8
6,5
20,3
20,3
20,3
20,3
26,3
26,3
26,3
26,3
26,3
26,3
13,8
16,5
24,3
24,3
24,3
24,3
24,3
24,3
26,3
26,3
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
23,8
26,5
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
9,8
26,3
26,3
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
23,8
26,5
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
30,8
26,3
26,3
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
23,8
26,5
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
9,8
26,3
26,3
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
23,8
26,5
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
9,8
22,7
11,7
11,3
11,1
11,3
30,2
11,4
30,1
11,4
11,4
11,4
30,1
11,3
11,1
11,3
30,2
11,3
11,1
11,3
30,2
11,4
30,1
11,4
15,7
11,7
11,3
11,1
11,3
30,2
11,4
30,1
11,4
3,7
1,7
22,7
9,7
20,4
20,4
30,1
20,3
20,1
20,3
30,2
20,3
20,1
20,3
30,2
20,4
30,1
20,4
20,4
20,4
30,1
20,3
20,1
20,3
30,2
20,3
20,1
20,3
30,2
20,4
30,1
20,4
15,4
15,4
30,1
15,3
15,1
15,3
30,2
15,3
15,1
15,3
30,2
15,4
30,1
15,4
15,4
15,4
30,1
15,3
15,1
15,3
30,2
15,3
15,1
15,3
30,2
15,4
30,1
15,4
22,7
11,7
11,3
11,1
11,3
30,2
11,4
30,1
11,4
11,4
11,4
30,1
11,3
11,1
11,3
30,2
11,3
11,1
11,3
30,2
11,4
30,1
11,4
15,7
11,7
11,3
11,1
11,3
30,2
11,4
30,1
11,4
3,7
1,7
22,7
9,7
20,4
20,4
30,1
20,3
20,1
20,3
30,2
20,3
20,1
20,3
30,2
20,4
30,1
20,4
20,4
20,4
30,1
20,3
20,1
20,3
30,2
20,3
20,1
20,3
30,2
20,4
30,1
20,4
15,4
15,4
30,1
15,3
15,1
15,3
30,2
15,3
15,1
15,3
30,2
15,4
30,1
15,4
15,4
15,4
30,1
15,3
15,1
15,3
30,2
15,3
15,1
15,3
30,2
15,4
30,1
15,4
22,7
11,7
11,3
11,1
11,3
30,2
11,4
30,1
11,4
11,4
11,4
30,1
11,3
11,1
11,3
30,2
11,3
11,1
11,3
30,2
11,4
30,1
11,4
15,7
11,7
11,3
11,1
11,3
30,2
11,4
30,1
11,4
3,7
1,7
22,7
9,7
20,4
20,4
30,1
20,3
20,1
20,3
30,2
20,3
20,1
20,3
30,2
20,4
30,1
20,4
20,4
20,4
30,1
20,3
20,1
20,3
30,2
20,3
20,1
20,3
30,2
20,4
30,1
20,4
15,4
15,4
30,1
15,3
15,1
15,3
30,2
15,3
15,1
15,3
30,2
15,4
30,1
15,4
15,4
15,4
30,1
15,3
15,1
15,3
30,2
15,3
15,1
15,3
30,2
15,4
30,1
15,4
22,7
11,7
11,3
11,1
11,3
30,2
11,4
30,1
11,4
11,4
11,4
30,1
11,3
11,1
11,3
30,2
11,3
11,1
11,3
30,2
11,4
30,1
11,4
15,7
11,7
11,3
11,1
11,3
30,2
11,4
30,1
11,4
3,7
1,7
22,7
9,7
20,4
20,4
30,1
20,3
20,1
20,3
30,2
20,3
20,1
20,3
30,2
20,4
30,1
20,4
20,4
20,4
30,1
20,3
20,1
20,3
30,2
20,3
20,1
20,3
30,2
20,4
30,1
20,4
15,4
15,4
30,1
15,3
15,1
15,3
30,2
15,3
15,1
15,3
30,2
15,4
30,1
15,4
15,4
15,4
30,1
15,3
15,1
15,3
30,2
15,3
15,1
15,3
30,2
15,4
30,1
15,4
11,5
11,22
5,5
5,22
20,5
20,22
6,5
6,22
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
4,3
2,3
23,3
10,3
19,3
23,5
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
23,3
19,3
9,3
29,3
9,7
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
4,3
2,3
23,3
10,3
19,3
23,5
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
23,3
19,3
9,3
29,3
9,7
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
4,3
2,3
23,3
10,3
19,3
23,5
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
23,3
19,3
9,3
29,3
9,7
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
4,3
2,3
23,3
10,3
19,3
23,5
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
23,3
19,3
9,3
29,3
9,7
26,5
26,5
26,3
26,3
26,5
26,5
26,5
26,3
26,3
26,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,3
11,3
11,5
24,5
24,5
24,3
24,3
24,5
24,5
24,5
24,3
24,3
24,5
15,5
15,5
15,3
15,3
15,5
15,5
15,5
15,3
15,3
15,5
26,5
26,5
26,3
26,3
26,5
26,5
26,5
26,3
26,3
26,5
26,5
26,5
26,3
26,3
26,5
26,5
26,5
26,3
26,3
26,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,3
11,3
11,5
15,5
15,5
15,3
15,3
15,5
15,5
15,5
15,3
15,3
15,5
15,5
15,5
15,3
15,3
15,5
15,5
15,5
15,3
15,3
15,5
22,5
22,5
22,3
22,3
22,5
22,5
22,5
22,3
22,3
22,5
22,5
22,5
22,3
22,3
22,5
22,5
22,5
22,3
22,3
22,5
26,5
26,5
26,3
26,3
26,5
26,5
26,5
26,3
26,3
26,5
26,5
26,5
26,3
26,3
26,5
26,5
26,5
26,3
26,3
26,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,3
11,3
11,5
15,5
15,5
15,3
15,3
15,5
15,5
15,5
15,3
15,3
15,5
15,5
15,5
15,3
15,3
15,5
15,5
15,5
15,3
15,3
15,5
22,5
22,5
22,3
22,3
22,5
22,5
22,5
22,3
22,3
22,5
22,5
22,5
22,3
22,3
22,5
22,5
22,5
22,3
22,3
22,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
25,5
29,5
16,5
13,5
16,8
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
25,5
29,5
16,5
13,5
16,8
13,8
16,8
11,5
11,5
11,5
11,5
11,5
11,5
25,5
29,5
16,5
13,5
16,8
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
25,5
29,5
16,5
13,5
16,8
26,8
4,8
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
25,5
29,5
16,5
13,5
16,8
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
25,5
29,5
16,5
13,5
16,8
13,8
16,8
11,5
11,5
11,5
11,5
11,5
11,5
25,5
29,5
16,5
13,5
16,8
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
25,5
29,5
16,5
13,5
16,8
26,8
16,8
26,3
26,3
26,5
26,3
26,3
26,5
26,3
26,3
26,5
26,3
26,3
26,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
8,3
8,3
8,5
8,3
8,3
8,5
8,3
8,3
8,5
11,5
15,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
26,3
26,3
26,5
26,3
26,3
26,5
26,3
26,3
26,5
26,3
26,3
26,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
8,3
8,3
8,5
8,3
8,3
8,5
8,3
8,3
8,5
11,5
15,5
11,3
11,3
11,5
11,3
11,3
22,5
22,3
22,3
22,5
22,3
22,3
22,5
26,3
26,3
26,5
26,3
26,3
26,5
26,3
26,3
26,5
26,3
26,3
26,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
8,3
8,3
8,5
8,3
8,3
8,5
8,3
8,3
8,5
11,5
15,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
26,3
26,3
26,5
26,3
26,3
26,5
26,3
26,3
26,5
26,3
26,3
26,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
11,3
11,3
11,5
8,3
8,3
8,5
8,3
8,3
8,5
8,3
8,3
8,5
11,5
15,5
11,3
11,3
11,5
11,3
11,3
22,5
22,3
22,3
22,5
22,3
22,3
22,5
26,3
26,3
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
23,8
26,5
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
9,8
26,3
26,3
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
23,8
26,5
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
30,8
26,3
26,3
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
23,8
26,5
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
9,8
26,3
26,3
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
23,8
26,5
26,5
13,8
26,3
26,3
26,5
13,8
13,8
13,8
3,8
9,8
22,7
11,7
11,3
11,1
11,3
30,2
11,4
30,1
11,4
11,4
11,4
30,1
11,3
11,1
11,3
30,2
11,3
11,1
11,3
30,2
11,4
30,1
11,4
15,7
11,7
11,3
11,1
11,3
30,2
11,4
30,1
11,4
3,7
1,7
22,7
9,7
20,4
20,4
30,1
20,3
20,1
20,3
30,2
20,3
20,1
20,3
30,2
20,4
30,1
20,4
20,4
20,4
30,1
20,3
20,1
20,3
30,2
20,3
20,1
20,3
30,2
20,4
30,1
20,4
15,4
15,4
30,1
15,3
15,1
15,3
30,2
15,3
15,1
15,3
30,2
15,4
30,1
15,4
15,4
15,4
30,1
15,3
15,1
15,3
30,2
15,3
15,1
15,3
30,2
15,4
30,1
15,4
22,7
11,7
11,3
11,1
11,3
30,2
11,4
30,1
11,4
11,4
11,4
30,1
11,3
11,1
11,3
30,2
11,3
11,1
11,3
30,2
11,4
30,1
11,4
15,7
11,7
11,3
11,1
11,3
30,2
11,4
30,1
11,4
3,7
1,7
22,7
9,7
20,4
20,4
30,1
20,3
20,1
20,3
30,2
20,3
20,1
20,3
30,2
20,4
30,1
20,4
20,4
20,4
30,1
20,3
20,1
20,3
30,2
20,3
20,1
20,3
30,2
20,4
30,1
20,4
15,4
15,4
30,1
15,3
15,1
15,3
30,2
15,3
15,1
15,3
30,2
15,4
30,1
15,4
15,4
15,4
30,1
15,3
15,1
15,3
30,2
15,3
15,1
15,3
30,2
15,4
30,1
15,4
22,7
11,7
11,3
11,1
11,3
30,2
11,4
30,1
11,4
11,4
11,4
30,1
11,3
11,1
11,3
30,2
11,3
11,1
11,3
30,2
11,4
30,1
11,4
15,7
11,7
11,3
11,1
11,3
30,2
11,4
30,1
11,4
3,7
1,7
22,7
9,7
20,4
20,4
30,1
20,3
20,1
20,3
30,2
20,3
20,1
20,3
30,2
20,4
30,1
20,4
20,4
20,4
30,1
20,3
20,1
20,3
30,2
20,3
20,1
20,3
30,2
20,4
30,1
20,4
15,4
15,4
30,1
15,3
15,1
15,3
30,2
15,3
15,1
15,3
30,2
15,4
30,1
15,4
15,4
15,4
30,1
15,3
15,1
