Pitch,Durations
3,3
3,3
3,5
3,3
3,3
3,3
3,3
3,5
3,3
3,3
3,5
9,3
9,3
9,3
9,3
9,5
9,3
9,3
9,3
9,3
9,5
9,3
9,3
9,5
26,21
11,21
15,21
22,21
26,21
11,21
15,21
22,21
11,8
11,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
15,8
15,8
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
22,8
22,8
22,3
22,3
22,3
22,3
22,3
22,3
22,3
22,3
15,8
15,8
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
11,8
11,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
15,8
15,8
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
22,8
22,8
22,3
22,3
22,3
22,3
22,3
22,3
22,3
22,3
15,8
15,8
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
11,8
11,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
15,8
15,8
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
22,8
22,8
22,3
22,3
22,3
22,3
22,3
22,3
22,3
22,3
15,8
15,8
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
11,8
11,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
15,8
15,8
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
22,8
22,8
22,3
22,3
22,3
22,3
22,3
22,3
22,3
22,3
15,8
30,18
3,5
1,5
22,5
20,5
15,14
3,5
1,5
22,5
20,17
3,5
1,5
22,5
20,5
11,14
16,5
23,5
23,5
21,5
23,14
3,5
1,5
22,5
20,5
15,14
3,5
1,5
22,5
20,17
3,5
1,5
22,5
20,5
11,14
16,5
23,5
23,5
21,5
25,14
3,5
1,5
22,5
20,5
15,14
3,5
1,5
22,5
20,17
3,5
1,5
22,5
20,5
11,14
16,5
23,5
23,5
21,5
23,14
26,21
11,21
26,14
15,14
5,14
20,14
26,21
11,21
26,14
15,14
5,14
20,14
26,21
11,21
26,14
15,14
5,14
20,14
26,21
11,21
26,14
15,14
5,14
20,14
26,3
1,3
3,3
1,3
24,8
26,3
1,3
3,3
1,3
13,3
16,3
13,3
9,3
20,3
24,3
1,3
24,3
20,8
20,3
24,3
1,3
24,3
9,3
6,3
9,3
3,3
26,3
1,3
3,3
1,3
24,8
26,3
1,3
3,3
1,3
13,3
16,3
13,3
9,3
20,3
24,3
1,3
24,3
20,8
20,3
24,3
1,3
24,3
9,3
6,3
9,3
3,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
15,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
22,8
11,3
11,3
11,3
11,3
20,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
15,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
22,8
11,3
11,3
11,3
11,3
7,8
26,3
1,3
3,3
1,3
24,8
26,3
1,3
3,3
1,3
13,3
16,3
13,3
9,3
20,3
24,3
1,3
24,3
20,8
20,3
24,3
1,3
24,3
9,3
6,3
9,3
3,3
26,3
1,3
3,3
1,3
24,8
26,3
1,3
3,3
1,3
13,3
16,3
13,3
9,3
20,3
24,3
1,3
24,3
20,8
20,3
24,3
1,3
24,3
9,3
6,3
9,3
3,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
15,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
22,8
11,3
11,3
11,3
11,3
20,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
15,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
22,8
11,3
11,3
11,3
11,3
7,8
30,24
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
13,8
16,8
9,8
23,8
13,7
16,7
13,8
16,8
9,8
23,8
13,7
16,7
13,14
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,14
11,5
11,5
11,5
11,5
23,5
3,11
10,5
23,11
29,5
9,11
2,5
13,11
13,14
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,14
11,5
11,5
11,5
11,5
23,5
3,11
10,5
23,11
29,5
9,11
2,5
13,11
13,14
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,14
11,5
11,5
11,5
11,5
23,5
3,11
10,5
23,11
29,5
9,11
2,5
13,11
13,14
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,14
11,5
11,5
11,5
11,5
23,5
3,11
10,5
23,11
29,5
9,11
2,5
13,11
13,14
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,14
11,5
11,5
11,5
11,5
23,5
3,11
10,5
23,11
29,5
9,11
2,5
13,11
13,14
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,14
11,5
11,5
11,5
11,5
23,5
3,11
10,5
23,11
29,5
9,11
2,5
13,11
13,14
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,14
11,5
11,5
11,5
11,5
23,5
3,11
10,5
23,11
29,5
9,11
2,5
13,11
13,14
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,14
11,5
11,5
11,5
11,5
23,5
3,11
10,5
23,11
29,5
9,11
2,5
13,11
13,14
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,14
11,5
11,5
11,5
11,5
23,5
3,11
10,5
23,11
29,5
9,11
2,5
30,21
26,11
15,11
11,11
23,23
15,11
9,8
16,8
13,22
15,11
11,11
23,23
15,11
9,8
16,8
13,22
15,11
11,11
23,23
15,11
9,8
16,8
13,22
15,11
11,11
23,23
15,11
9,8
16,8
13,18
3,5
1,5
22,5
20,5
15,14
3,5
1,5
22,5
20,17
3,5
1,5
22,5
20,5
11,14
16,5
23,5
23,5
21,5
23,14
3,5
1,5
22,5
20,5
15,14
3,5
1,5
22,5
20,17
3,5
1,5
22,5
20,5
11,14
16,5
23,5
23,5
21,5
25,14
3,5
1,5
22,5
20,5
15,14
3,5
1,5
22,5
20,17
3,5
1,5
22,5
20,5
11,14
16,5
23,5
23,5
21,5
23,14
26,21
11,21
26,14
15,14
5,14
20,14
26,21
11,21
26,14
15,14
5,14
20,14
26,21
11,21
26,14
15,14
5,14
20,14
26,21
11,21
26,14
15,14
5,14
20,14
26,3
1,3
3,3
1,3
24,8
26,3
1,3
3,3
1,3
13,3
16,3
13,3
9,3
20,3
24,3
1,3
24,3
20,8
20,3
24,3
1,3
24,3
9,3
6,3
9,3
3,3
26,3
1,3
3,3
1,3
24,8
26,3
1,3
3,3
1,3
13,3
16,3
13,3
9,3
20,3
24,3
1,3
24,3
20,8
20,3
24,3
1,3
24,3
9,3
6,3
9,3
3,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
15,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
22,8
11,3
11,3
11,3
11,3
20,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
15,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
22,8
11,3
11,3
11,3
11,3
7,8
26,3
1,3
3,3
1,3
24,8
26,3
1,3
3,3
1,3
13,3
16,3
13,3
9,3
20,3
24,3
1,3
24,3
20,8
20,3
24,3
1,3
24,3
9,3
6,3
9,3
3,3
26,3
1,3
3,3
1,3
24,8
26,3
1,3
3,3
1,3
13,3
16,3
13,3
9,3
20,3
24,3
1,3
24,3
20,8
20,3
24,3
1,3
24,3
9,3
6,3
9,3
3,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
15,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
22,8
11,3
11,3
11,3
11,3
20,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
15,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
22,8
11,3
11,3
11,3
11,3
7,8
30,24
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
13,8
16,8
9,8
23,8
13,7
16,7
13,8
16,8
9,8
23,8
13,7
16,7
13,14
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,14
11,5
11,5
11,5
11,5
23,5
3,11
10,5
23,11
29,5
9,11
2,5
13,11
13,14
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,14
11,5
11,5
11,5
11,5
23,5
3,11
10,5
23,11
29,5
9,11
2,5
13,11
13,14
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,14
11,5
11,5
11,5
11,5
23,5
3,11
10,5
23,11
29,5
9,11
2,5
13,11
13,14
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,14
11,5
11,5
11,5
11,5
23,5
3,11
10,5
23,11
29,5
9,11
2,5
13,11
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
3,3
3,3
3,3
3,3
3,5
3,3
3,3
3,3
3,3
3,5
3,3
3,3
3,5
9,3
9,3
9,3
9,3
9,5
9,3
9,3
9,3
9,3
9,5
9,3
9,3
9,5
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
3,3
3,3
3,3
3,3
3,5
3,3
3,3
3,3
3,3
3,5
3,3
3,3
3,5
9,3
9,3
9,3
9,3
9,5
9,3
9,3
9,3
9,3
9,5
9,3
9,3
9,5
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
3,3
3,3
3,3
3,3
3,5
3,3
3,3
3,3
3,3
3,5
3,3
3,3
3,5
9,3
9,3
9,3
9,3
9,5
9,3
9,3
9,3
9,3
9,5
9,3
9,3
9,5
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
3,3
3,3
3,3
3,3
3,5
3,3
3,3
3,3
3,3
3,5
3,3
3,3
3,5
9,3
9,3
9,3
9,3
9,5
9,3
9,3
9,3
9,3
9,5
9,3
9,3
9,5
26,21
11,21
15,21
22,21
26,21
11,21
15,21
22,21
11,8
11,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
15,8
15,8
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
22,8
22,8
22,3
22,3
22,3
22,3
22,3
22,3
22,3
22,3
15,8
15,8
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
11,8
11,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
15,8
15,8
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
22,8
22,8
22,3
22,3
22,3
22,3
22,3
22,3
22,3
22,3
15,8
15,8
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
11,8
11,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
15,8
15,8
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
22,8
22,8
22,3
22,3
22,3
22,3
22,3
22,3
22,3
22,3
15,8
15,8
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
11,8
11,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
15,8
15,8
15,3
15,3
15,3
15,3
15,3
15,3
15,3
15,3
22,8
22,8
22,3
22,3
22,3
22,3
22,3
22,3
22,3
22,3
15,8
30,18
3,5
1,5
22,5
20,5
15,14
3,5
1,5
22,5
20,17
3,5
1,5
22,5
20,5
11,14
16,5
23,5
23,5
21,5
23,14
3,5
1,5
22,5
20,5
15,14
3,5
1,5
22,5
20,17
3,5
1,5
22,5
20,5
11,14
16,5
23,5
23,5
21,5
25,14
3,5
1,5
22,5
20,5
15,14
3,5
1,5
22,5
20,17
3,5
1,5
22,5
20,5
11,14
16,5
23,5
23,5
21,5
23,14
26,21
11,21
26,14
15,14
5,14
20,14
26,21
11,21
26,14
15,14
5,14
20,14
26,21
11,21
26,14
15,14
5,14
20,14
26,21
11,21
26,14
15,14
5,14
20,14
26,3
1,3
3,3
1,3
24,8
26,3
1,3
3,3
1,3
13,3
16,3
13,3
9,3
20,3
24,3
1,3
24,3
20,8
20,3
24,3
1,3
24,3
9,3
6,3
9,3
3,3
26,3
1,3
3,3
1,3
24,8
26,3
1,3
3,3
1,3
13,3
16,3
13,3
9,3
20,3
24,3
1,3
24,3
20,8
20,3
24,3
1,3
24,3
9,3
6,3
9,3
3,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
15,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
22,8
11,3
11,3
11,3
11,3
20,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
15,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
22,8
11,3
11,3
11,3
11,3
7,8
26,3
1,3
3,3
1,3
24,8
26,3
1,3
3,3
1,3
13,3
16,3
13,3
9,3
20,3
24,3
1,3
24,3
20,8
20,3
24,3
1,3
24,3
9,3
6,3
9,3
3,3
26,3
1,3
3,3
1,3
24,8
26,3
1,3
3,3
1,3
13,3
16,3
13,3
9,3
20,3
24,3
1,3
24,3
20,8
20,3
24,3
1,3
24,3
9,3
6,3
9,3
3,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
15,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
22,8
11,3
11,3
11,3
11,3
20,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
15,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
22,8
11,3
11,3
11,3
11,3
7,8
30,24
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
13,8
16,8
9,8
23,8
13,7
16,7
13,8
16,8
9,8
23,8
13,7
16,7
13,14
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,14
11,5
11,5
11,5
11,5
23,5
3,11
10,5
23,11
29,5
9,11
2,5
13,11
13,14
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,14
11,5
11,5
11,5
11,5
23,5
3,11
10,5
23,11
29,5
9,11
2,5
13,11
13,14
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,14
11,5
11,5
11,5
11,5
23,5
3,11
10,5
23,11
29,5
9,11
2,5
13,11
13,14
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,14
11,5
11,5
11,5
11,5
23,5
3,11
10,5
23,11
29,5
9,11
2,5
13,11
13,14
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,14
11,5
11,5
11,5
11,5
23,5
3,11
10,5
23,11
29,5
9,11
2,5
13,11
13,14
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,14
11,5
11,5
11,5
11,5
23,5
3,11
10,5
23,11
29,5
9,11
2,5
13,11
13,14
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,14
11,5
11,5
11,5
11,5
23,5
3,11
10,5
23,11
29,5
9,11
2,5
13,11
13,14
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,14
11,5
11,5
11,5
11,5
23,5
3,11
10,5
23,11
29,5
9,11
2,5
13,11
13,14
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,14
11,5
11,5
11,5
11,5
23,5
3,11
10,5
23,11
29,5
9,11
2,5
