Pitch,Durations
22,4
22,4
9,8
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
11,5
11,5
11,5
11,5
16,5
13,5
9,5
13,5
11,5
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,5
11,5
11,5
11,5
3,5
1,5
22,5
26,5
11,5
11,5
11,5
11,5
15,3
15,3
15,5
15,5
15,5
11,5
11,5
11,5
11,5
16,5
13,5
9,5
13,5
11,5
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,5
11,5
11,5
11,5
3,5
1,5
22,5
26,5
11,5
11,5
11,5
11,5
13,5
2,5
17,5
2,5
11,5
11,5
11,5
11,5
16,5
13,5
9,5
13,5
11,5
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,5
11,5
11,5
11,5
3,5
1,5
22,5
26,5
11,5
11,5
11,5
11,5
15,3
15,3
15,5
15,5
15,5
11,5
11,5
11,5
11,5
16,5
13,5
9,5
13,5
11,5
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,5
11,5
11,5
11,5
3,5
1,5
22,5
26,5
11,4
11,4
11,4
23,8
11,4
11,4
11,4
19,8
11,4
11,4
11,4
29,8
13,4
26,4
11,4
22,4
9,4
22,4
11,4
11,4
11,4
23,8
11,4
11,4
11,4
9,8
11,4
11,4
11,4
13,8
13,4
26,4
11,4
22,4
9,4
22,4
11,4
11,4
11,4
23,8
11,4
11,4
11,4
19,8
11,4
11,4
11,4
29,8
13,4
26,4
11,4
22,4
9,4
22,4
11,4
11,4
11,4
23,8
11,4
11,4
11,4
9,8
11,4
11,4
11,4
13,8
13,4
26,4
11,4
22,4
9,4
22,4
11,4
11,4
11,4
23,8
11,4
11,4
11,4
19,8
11,4
11,4
11,4
29,8
13,4
26,4
11,4
22,4
9,4
22,4
11,4
11,4
11,4
23,8
11,4
11,4
11,4
9,8
11,4
11,4
11,4
13,8
13,4
26,4
11,4
22,4
9,4
22,4
11,4
11,4
11,4
23,8
11,4
11,4
11,4
19,8
11,4
11,4
11,4
29,8
13,4
26,4
11,4
22,4
9,4
22,4
11,4
11,4
11,4
23,8
11,4
11,4
11,4
9,8
11,4
11,4
11,4
13,8
30,28
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
30,34
13,5
11,5
19,5
11,5
23,5
11,5
6,5
11,5
13,5
11,5
19,5
11,5
23,5
11,5
29,5
11,5
13,5
11,5
19,5
11,5
23,5
11,5
6,5
11,5
13,5
11,5
19,5
11,5
23,5
11,5
29,5
11,5
23,5
3,5
3,5
3,5
19,5
3,5
3,5
3,5
13,5
26,5
26,5
26,5
6,5
26,5
26,5
26,5
13,5
11,5
19,5
11,5
23,5
11,5
6,5
11,5
13,5
11,5
19,5
11,5
23,5
11,5
29,5
11,5
23,5
3,5
3,5
3,5
19,5
3,5
3,5
3,5
13,5
26,5
26,5
26,5
6,5
26,5
26,5
26,5
13,5
11,5
19,5
11,5
23,5
11,5
6,5
11,5
13,5
11,5
19,5
11,5
23,5
11,5
29,5
11,5
23,5
3,5
3,5
3,5
19,5
3,5
3,5
3,5
13,5
26,5
26,5
26,5
6,5
26,5
26,5
26,5
13,5
11,5
19,5
11,5
23,5
11,5
6,5
11,5
13,5
11,5
19,5
11,5
23,5
11,5
29,5
11,5
23,5
3,5
3,5
3,5
19,5
3,5
3,5
3,5
13,5
26,5
26,5
26,5
30,20
26,2
26,1
26,3
26,8
30,26
26,3
26,8
30,27
26,8
30,15
26,1
26,2
26,3
26,3
26,8
30,13
26,3
26,5
30,3
26,3
26,8
30,18
29,4
23,4
16,4
13,4
23,4
16,4
13,4
9,4
16,4
13,4
9,4
3,4
26,28
15,21
22,21
26,28
15,21
22,21
11,5
11,5
11,5
11,5
16,5
13,5
9,5
13,5
11,5
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,5
11,5
11,5
11,5
3,5
1,5
22,5
26,5
11,5
11,5
11,5
11,5
15,3
15,3
15,5
15,5
15,5
11,5
11,5
11,5
11,5
16,5
13,5
9,5
13,5
11,5
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,5
11,5
11,5
11,5
3,5
1,5
22,5
26,5
11,5
11,5
11,5
11,5
13,5
2,5
17,5
2,5
11,5
11,5
11,5
11,5
16,5
13,5
9,5
13,5
11,5
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,5
11,5
11,5
11,5
3,5
1,5
22,5
26,5
11,5
11,5
11,5
11,5
15,3
15,3
15,5
15,5
15,5
11,5
11,5
11,5
11,5
16,5
13,5
9,5
13,5
11,5
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,5
11,5
11,5
11,5
3,5
1,5
22,5
26,5
11,4
11,4
11,4
23,8
11,4
11,4
11,4
19,8
11,4
11,4
11,4
29,8
13,4
26,4
11,4
22,4
9,4
22,4
11,4
11,4
11,4
23,8
11,4
11,4
11,4
9,8
11,4
11,4
11,4
13,8
13,4
26,4
11,4
22,4
9,4
22,4
11,4
11,4
11,4
23,8
11,4
11,4
11,4
19,8
11,4
11,4
11,4
29,8
13,4
26,4
11,4
22,4
9,4
22,4
11,4
11,4
11,4
23,8
11,4
11,4
11,4
9,8
11,4
11,4
11,4
13,8
13,4
26,4
11,4
22,4
9,4
22,4
11,4
11,4
11,4
23,8
11,4
11,4
11,4
19,8
11,4
11,4
11,4
29,8
13,4
26,4
11,4
22,4
9,4
22,4
11,4
11,4
11,4
23,8
11,4
11,4
11,4
9,8
11,4
11,4
11,4
13,8
13,4
26,4
11,4
22,4
9,4
22,4
11,4
11,4
11,4
23,8
11,4
11,4
11,4
19,8
11,4
11,4
11,4
29,8
13,4
26,4
11,4
22,4
9,4
22,4
11,4
11,4
11,4
23,8
11,4
11,4
11,4
9,8
11,4
11,4
11,4
13,8
30,28
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
30,34
13,5
11,5
19,5
11,5
23,5
11,5
6,5
11,5
13,5
11,5
19,5
11,5
23,5
11,5
29,5
11,5
13,5
11,5
19,5
11,5
23,5
11,5
6,5
11,5
13,5
11,5
19,5
11,5
23,5
11,5
29,5
11,5
23,5
3,5
3,5
3,5
19,5
3,5
3,5
3,5
13,5
26,5
26,5
26,5
6,5
26,5
26,5
26,5
13,5
11,5
19,5
11,5
23,5
11,5
6,5
11,5
13,5
11,5
19,5
11,5
23,5
11,5
29,5
11,5
23,5
3,5
3,5
3,5
19,5
3,5
3,5
3,5
13,5
26,5
26,5
26,5
6,5
26,5
26,5
26,5
13,5
11,5
19,5
11,5
23,5
11,5
6,5
11,5
13,5
11,5
19,5
11,5
23,5
11,5
29,5
11,5
23,5
3,5
3,5
3,5
19,5
3,5
3,5
3,5
13,5
26,5
26,5
26,5
6,5
26,5
26,5
26,5
13,5
11,5
19,5
11,5
23,5
11,5
6,5
11,5
13,5
11,5
19,5
11,5
23,5
11,5
29,5
11,5
23,5
3,5
3,5
3,5
19,5
3,5
3,5
3,5
13,5
26,5
26,5
26,5
6,5
26,5
26,5
26,5
11,8
11,5
11,11
11,5
11,5
3,8
3,5
3,8
9,5
9,8
13,8
13,5
13,11
13,5
13,5
3,8
11,5
22,8
26,5
26,8
11,8
11,5
11,11
11,5
11,5
3,8
3,5
3,8
9,5
9,8
13,8
13,5
13,11
13,5
13,5
3,8
11,5
22,8
26,5
26,8
11,8
11,5
11,11
11,5
11,5
3,8
3,5
3,8
9,5
9,8
13,8
13,5
13,11
13,5
13,5
3,8
11,5
22,8
26,5
26,8
11,8
11,5
11,11
11,5
11,5
3,8
3,5
3,8
9,5
9,8
13,8
13,5
13,11
13,5
13,5
3,8
11,5
22,8
26,5
26,8
30,35
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
9,8
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
11,5
11,5
11,5
11,5
16,5
13,5
9,5
13,5
11,5
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,5
11,5
11,5
11,5
3,5
1,5
22,5
26,5
11,5
11,5
11,5
11,5
15,3
15,3
15,5
15,5
15,5
11,5
11,5
11,5
11,5
16,5
13,5
9,5
13,5
11,5
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,5
11,5
11,5
11,5
3,5
1,5
22,5
26,5
11,5
11,5
11,5
11,5
13,5
2,5
17,5
2,5
11,5
11,5
11,5
11,5
16,5
13,5
9,5
13,5
11,5
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,5
11,5
11,5
11,5
3,5
1,5
22,5
26,5
11,5
11,5
11,5
11,5
15,3
15,3
15,5
15,5
15,5
11,5
11,5
11,5
11,5
16,5
13,5
9,5
13,5
11,5
11,5
11,5
11,5
11,3
11,3
11,5
11,5
11,5
11,5
11,5
11,5
11,5
3,5
1,5
22,5
26,5
11,4
11,4
11,4
23,8
11,4
11,4
11,4
19,8
11,4
11,4
11,4
29,8
13,4
26,4
11,4
22,4
9,4
22,4
11,4
11,4
11,4
23,8
11,4
11,4
11,4
9,8
11,4
11,4
11,4
13,8
13,4
26,4
11,4
22,4
9,4
22,4
11,4
11,4
11,4
23,8
11,4
11,4
11,4
19,8
11,4
11,4
11,4
29,8
13,4
26,4
11,4
22,4
9,4
22,4
11,4
11,4
11,4
23,8
11,4
11,4
11,4
9,8
11,4
11,4
11,4
13,8
13,4
26,4
11,4
22,4
9,4
22,4
11,4
11,4
11,4
23,8
11,4
11,4
11,4
19,8
11,4
11,4
11,4
29,8
13,4
26,4
11,4
22,4
9,4
22,4
11,4
11,4
11,4
23,8
11,4
11,4
11,4
9,8
11,4
11,4
11,4
13,8
13,4
26,4
11,4
22,4
9,4
22,4
11,4
11,4
11,4
23,8
11,4
11,4
11,4
19,8
11,4
11,4
11,4
29,8
13,4
26,4
11,4
22,4
9,4
22,4
11,4
11,4
11,4
23,8
11,4
11,4
11,4
9,8
11,4
11,4
11,4
13,8
30,28
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
11,4
11,2
11,2
11,4
24,5
11,2
11,1
11,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
15,2
15,1
15,3
15,4
15,2
15,2
15,4
24,5
30,34
13,5
11,5
19,5
11,5
23,5
11,5
6,5
11,5
13,5
11,5
19,5
11,5
23,5
11,5
29,5
11,5
13,5
11,5
19,5
11,5
23,5
11,5
6,5
11,5
13,5
11,5
19,5
11,5
23,5
11,5
29,5
11,5
23,5
3,5
3,5
3,5
19,5
3,5
3,5
3,5
13,5
26,5
26,5
26,5
6,5
26,5
26,5
26,5
13,5
11,5
19,5
11,5
23,5
11,5
6,5
11,5
13,5
11,5
19,5
11,5
23,5
11,5
29,5
11,5
23,5
3,5
3,5
3,5
19,5
3,5
3,5
3,5
13,5
26,5
26,5
26,5
6,5
26,5
26,5
26,5
13,5
11,5
19,5
11,5
23,5
11,5
6,5
11,5
13,5
11,5
19,5
11,5
23,5
11,5
29,5
11,5
23,5
3,5
3,5
3,5
19,5
3,5
3,5
3,5
13,5
26,5
26,5
26,5
6,5
26,5
26,5
26,5
13,5
11,5
19,5
11,5
23,5
11,5
6,5
11,5
13,5
11,5
19,5
11,5
23,5
11,5
29,5
11,5
23,5
3,5
3,5
3,5
19,5
3,5
3,5
3,5
13,5
26,5
26,5
26,5
