Pitch,Durations
42,4
26,9
61,19
136,4
56,4
100,4
61,23
136,4
56,4
100,4
61,9
45,19
136,4
56,4
100,4
45,23
136,4
56,4
100,4
102,23
136,4
56,4
100,4
102,23
136,4
56,4
100,4
61,23
185,30
5,6
175,6
93,6
22,14
185,30
178,6
125,6
76,6
10,14
185,30
5,6
175,6
93,6
22,14
185,32
69,6
5,6
100,6
5,6
185,30
5,6
175,6
93,6
22,14
185,30
178,6
125,6
76,6
10,14
185,30
5,6
175,6
93,6
22,14
185,28
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
109,11
64,3
185,1
64,3
185,1
64,3
185,1
176,11
69,4
167,4
64,3
185,1
131,3
185,1
50,3
185,1
131,3
185,1
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
53,11
64,3
185,1
64,3
185,1
64,3
185,1
70,11
69,4
167,4
64,3
185,1
131,3
185,1
50,3
185,1
131,3
185,1
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
109,11
64,3
185,1
64,3
185,1
64,3
185,1
176,11
69,4
167,4
64,3
185,1
131,3
185,1
50,3
185,1
131,3
185,1
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
53,11
64,3
185,1
64,3
185,1
64,3
185,1
70,11
69,4
167,4
64,3
185,1
131,3
185,1
50,3
185,1
131,3
185,1
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
109,11
64,3
185,1
64,3
185,1
64,3
185,1
176,11
69,4
167,4
64,3
185,1
131,3
185,1
50,3
185,1
131,3
185,1
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
53,11
64,3
185,1
64,3
185,1
64,3
185,1
70,11
69,4
167,4
64,3
185,1
131,3
185,1
50,3
185,1
131,3
185,1
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
109,11
64,3
185,1
64,3
185,1
64,3
185,1
176,11
69,4
167,4
64,3
185,1
131,3
185,1
50,3
185,1
131,3
185,1
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
53,11
64,3
185,1
64,3
185,1
64,3
185,1
70,11
185,37
100,26
76,3
100,3
76,28
178,26
125,3
178,3
125,28
100,26
76,3
100,3
76,28
178,26
125,3
178,3
10,28
26,26
10,3
26,3
10,28
185,37
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
37,3
185,3
64,3
185,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
175,3
185,3
64,3
185,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
37,3
185,3
64,3
185,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
175,3
185,3
64,3
185,3
136,6
17,3
17,3
17,3
17,3
17,3
17,3
108,6
17,3
17,3
17,3
17,3
17,3
17,3
69,6
167,3
167,3
167,3
167,3
167,3
167,3
37,6
167,3
167,3
167,3
167,3
167,3
167,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
37,3
185,3
64,3
185,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
175,3
185,3
64,3
185,3
136,6
17,3
17,3
17,3
17,3
17,3
17,3
108,6
17,3
17,3
17,3
17,3
17,3
17,3
69,6
167,3
167,3
167,3
167,3
167,3
167,3
37,6
167,3
167,3
167,3
167,3
167,3
167,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
37,3
185,3
64,3
185,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
175,3
185,3
64,3
185,3
136,6
17,3
17,3
17,3
17,3
17,3
17,3
108,6
17,3
17,3
17,3
17,3
17,3
17,3
69,6
167,3
167,3
167,3
167,3
167,3
167,3
37,6
167,3
167,3
167,3
167,3
167,3
167,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
37,3
185,3
64,3
185,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
175,3
185,3
64,3
185,3
136,6
17,3
17,3
17,3
17,3
17,3
17,3
108,6
17,3
17,3
17,3
17,3
17,3
17,3
69,6
167,3
167,3
167,3
167,3
167,3
167,3
185,28
167,3
185,3
175,6
76,6
167,3
185,3
175,6
100,6
167,3
185,3
175,6
76,6
167,3
185,3
175,6
100,6
148,6
22,14
167,3
185,3
175,6
76,6
167,3
185,3
175,6
100,6
167,3
185,3
175,6
76,6
167,3
185,3
175,6
100,6
148,6
22,6
76,6
178,6
167,3
185,3
175,6
76,6
167,3
185,3
175,6
100,6
167,3
185,3
175,6
76,6
167,3
185,3
175,6
100,6
148,6
22,14
167,3
185,3
175,6
76,6
167,3
185,3
175,6
100,6
167,3
185,3
175,6
76,6
167,3
185,3
175,6
100,6
148,6
22,6
76,6
178,6
167,3
185,3
175,6
76,6
167,3
185,3
175,6
100,6
167,6
175,6
76,6
167,3
185,3
175,6
100,6
148,6
22,14
167,3
185,3
175,6
76,6
167,3
185,3
175,6
100,6
167,3
185,3
175,6
76,6
167,3
185,3
175,6
100,6
148,6
22,6
76,6
178,6
167,3
185,3
175,6
76,6
167,3
185,3
175,6
100,6
167,3
185,3
175,6
76,6
167,3
185,3
175,6
100,6
148,6
22,14
167,3
185,3
175,6
76,6
167,3
185,3
175,6
100,6
167,3
185,3
175,6
76,6
167,3
185,3
175,6
100,6
148,6
22,6
76,6
178,6
185,30
5,6
175,6
93,6
22,14
185,30
178,6
125,6
76,6
10,14
185,30
5,6
175,6
93,6
22,14
185,32
69,6
5,6
100,6
5,6
185,30
5,6
175,6
93,6
22,14
185,30
178,6
125,6
76,6
10,14
185,30
5,6
175,6
93,6
22,14
185,28
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
109,11
64,3
185,1
64,3
185,1
64,3
185,1
176,11
69,4
167,4
64,3
185,1
131,3
185,1
50,3
185,1
131,3
185,1
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
53,11
64,3
185,1
64,3
185,1
64,3
185,1
70,11
69,4
167,4
64,3
185,1
131,3
185,1
50,3
185,1
131,3
185,1
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
109,11
64,3
185,1
64,3
185,1
64,3
185,1
176,11
69,4
167,4
64,3
185,1
131,3
185,1
50,3
185,1
131,3
185,1
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
53,11
64,3
185,1
64,3
185,1
64,3
185,1
70,11
69,4
167,4
64,3
185,1
131,3
185,1
50,3
185,1
131,3
185,1
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
109,11
64,3
185,1
64,3
185,1
64,3
185,1
176,11
69,4
167,4
64,3
185,1
131,3
185,1
50,3
185,1
131,3
185,1
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
53,11
64,3
185,1
64,3
185,1
64,3
185,1
70,11
69,4
167,4
64,3
185,1
131,3
185,1
50,3
185,1
131,3
185,1
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
109,11
64,3
185,1
64,3
185,1
64,3
185,1
176,11
69,4
167,4
64,3
185,1
131,3
185,1
50,3
185,1
131,3
185,1
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
53,11
64,3
185,1
64,3
185,1
64,3
185,1
70,11
185,37
100,26
76,3
100,3
76,28
178,26
125,3
178,3
125,28
100,26
76,3
100,3
76,28
178,26
125,3
178,3
10,28
26,26
10,3
26,3
10,28
185,37
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
37,3
185,3
64,3
185,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
175,3
185,3
64,3
185,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
37,3
185,3
64,3
185,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
175,3
185,3
64,3
185,3
136,6
17,3
17,3
17,3
17,3
17,3
17,3
108,6
17,3
17,3
17,3
17,3
17,3
17,3
69,6
167,3
167,3
167,3
167,3
167,3
167,3
37,6
167,3
167,3
167,3
167,3
167,3
167,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
37,3
185,3
64,3
185,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
175,3
185,3
64,3
185,3
136,6
17,3
17,3
17,3
17,3
17,3
17,3
108,6
17,3
17,3
17,3
17,3
17,3
17,3
69,6
167,3
167,3
167,3
167,3
167,3
167,3
37,6
167,3
167,3
167,3
167,3
167,3
167,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
37,3
185,3
64,3
185,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
175,3
185,3
64,3
185,3
136,6
17,3
17,3
17,3
17,3
17,3
17,3
108,6
17,3
17,3
17,3
17,3
17,3
17,3
69,6
167,3
167,3
167,3
167,3
167,3
167,3
37,6
167,3
167,3
167,3
167,3
167,3
167,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
37,3
185,3
64,3
185,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
175,3
185,3
64,3
185,3
136,6
17,3
17,3
17,3
17,3
17,3
17,3
108,6
17,3
17,3
17,3
17,3
17,3
17,3
69,6
167,3
167,3
167,3
167,3
167,3
167,3
37,6
167,3
167,3
167,3
167,3
167,3
167,3
108,26
69,3
108,3
136,23
108,3
136,3
175,3
136,3
175,14
111,14
177,21
108,3
136,3
108,18
146,14
110,14
11,14
6,14
6,3
23,12
10,3
26,3
10,23
22,6
22,6
22,6
175,6
175,3
5,3
5,21
5,11
69,6
69,14
69,6
136,6
136,23
108,6
175,6
175,21
185,6
50,3
148,3
10,14
148,3
178,3
10,3
26,3
10,3
178,3
148,3
178,3
148,3
110,17
26,3
10,1
179,2
150,1
148,1
112,1
82,2
76,1
26,3
10,1
179,2
150,1
148,1
112,1
82,2
76,1
26,3
10,1
179,2
150,1
148,1
112,1
82,2
76,1
12,3
178,1
148,2
110,2
76,1
12,3
150,3
110,1
76,2
26,2
10,1
150,3
82,3
26,1
10,2
178,2
148,1
82,3
12,3
178,1
148,2
110,2
76,1
32,3
5,23
85,6
85,6
85,6
10,6
10,6
61,6
61,18
136,4
22,4
42,4
26,23
136,4
22,4
42,4
26,9
61,19
136,4
56,4
100,4
61,23
136,4
56,4
100,4
61,9
45,19
136,4
56,4
100,4
45,23
136,4
56,4
100,4
102,23
136,4
56,4
100,4
102,23
136,4
56,4
100,4
61,23
136,4
22,4
42,4
26,23
136,4
22,4
42,4
26,9
61,19
136,4
56,4
100,4
61,23
136,4
56,4
100,4
61,9
45,19
136,4
56,4
100,4
45,23
136,4
56,4
100,4
102,23
136,4
56,4
100,4
102,23
136,4
56,4
100,4
61,23
136,4
22,4
42,4
26,23
136,4
22,4
42,4
26,9
61,19
136,4
56,4
100,4
61,23
136,4
56,4
100,4
61,9
45,19
136,4
56,4
100,4
45,23
136,4
56,4
100,4
102,23
136,4
56,4
100,4
102,23
136,4
56,4
100,4
61,23
185,30
5,6
175,6
93,6
22,14
185,30
178,6
125,6
76,6
10,14
185,30
5,6
175,6
93,6
22,14
185,32
69,6
5,6
100,6
5,6
185,30
5,6
175,6
93,6
22,14
185,30
178,6
125,6
76,6
10,14
185,30
5,6
175,6
93,6
22,14
185,28
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
109,11
64,3
185,1
64,3
185,1
64,3
185,1
176,11
69,4
167,4
64,3
185,1
131,3
185,1
50,3
185,1
131,3
185,1
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
53,11
64,3
185,1
64,3
185,1
64,3
185,1
70,11
69,4
167,4
64,3
185,1
131,3
185,1
50,3
185,1
131,3
185,1
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
109,11
64,3
185,1
64,3
185,1
64,3
185,1
176,11
69,4
167,4
64,3
185,1
131,3
185,1
50,3
185,1
131,3
185,1
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
53,11
64,3
185,1
64,3
185,1
64,3
185,1
70,11
69,4
167,4
64,3
185,1
131,3
185,1
50,3
185,1
131,3
185,1
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
109,11
64,3
185,1
64,3
185,1
64,3
185,1
176,11
69,4
167,4
64,3
185,1
131,3
185,1
50,3
185,1
131,3
185,1
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
53,11
64,3
185,1
64,3
185,1
64,3
185,1
70,11
69,4
167,4
64,3
185,1
131,3
185,1
50,3
185,1
131,3
185,1
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
109,11
64,3
185,1
64,3
185,1
64,3
185,1
176,11
69,4
167,4
64,3
185,1
131,3
185,1
50,3
185,1
131,3
185,1
64,3
185,1
64,3
185,1
64,3
185,1
142,11
64,3
185,1
64,3
185,1
64,3
185,1
53,11
64,3
185,1
64,3
185,1
64,3
185,1
70,11
185,37
100,26
76,3
100,3
76,28
178,26
125,3
178,3
125,28
100,26
76,3
100,3
76,28
178,26
125,3
178,3
10,28
26,26
10,3
26,3
10,28
185,37
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
37,3
185,3
64,3
185,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
175,3
185,3
64,3
185,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
37,3
185,3
64,3
185,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
175,3
185,3
64,3
185,3
136,6
17,3
17,3
17,3
17,3
17,3
17,3
108,6
17,3
17,3
17,3
17,3
17,3
17,3
69,6
167,3
167,3
167,3
167,3
167,3
167,3
37,6
167,3
167,3
167,3
167,3
167,3
167,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
37,3
185,3
64,3
185,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
175,3
185,3
64,3
185,3
136,6
17,3
17,3
17,3
17,3
17,3
17,3
108,6
17,3
17,3
17,3
17,3
17,3
17,3
69,6
167,3
167,3
167,3
167,3
167,3
167,3
37,6
167,3
167,3
167,3
167,3
167,3
167,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
37,3
185,3
64,3
185,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
175,3
185,3
64,3
185,3
136,6
17,3
17,3
17,3
17,3
17,3
17,3
108,6
17,3
17,3
17,3
17,3
17,3
17,3
69,6
167,3
167,3
167,3
167,3
167,3
167,3
37,6
167,3
167,3
167,3
167,3
167,3
167,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
37,3
185,3
64,3
185,3
69,3
185,3
64,3
185,3
108,3
185,3
64,3
185,3
136,3
185,3
64,3
185,3
175,3
185,3
64,3
185,3
136,6
17,3
17,3
17,3
17,3
17,3
17,3
108,6
17,3
17,3
17,3
17,3
17,3
17,3
69,6
167,3
167,3
167,3
167,3
167,3
167,3
