Pitch,Durations
185,4
135,4
185,4
163,4
18,4
18,4
135,4
18,4
18,4
194,4
18,4
18,4
18,4
135,4
18,4
163,4
185,4
185,4
135,4
185,4
185,4
194,4
185,4
185,4
185,4
135,4
185,4
163,4
18,4
18,4
135,4
18,4
18,4
194,4
18,4
18,4
18,4
135,4
18,4
163,4
185,4
185,4
135,4
185,4
185,4
195,4
206,13
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
131,3
96,6
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
131,3
96,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
131,3
96,6
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
135,3
1,1
1,2
1,2
1,1
1,3
1,3
1,1
1,2
1,2
1,1
1,3
74,3
1,1
1,2
1,2
1,1
1,3
53,3
1,1
1,2
1,2
1,1
1,3
135,3
154,1
154,2
154,2
154,1
154,3
34,3
154,1
154,2
154,2
154,1
154,3
53,3
69,1
69,2
69,2
69,1
69,3
1,3
69,1
69,2
69,2
69,1
69,3
135,3
1,1
1,2
1,2
1,1
1,3
1,3
1,1
1,2
1,2
1,1
1,3
74,3
1,1
1,2
1,2
1,1
1,3
163,3
1,1
1,2
1,2
1,1
1,3
135,3
154,1
154,2
154,2
154,1
154,3
34,3
154,1
154,2
154,2
154,1
154,3
53,3
69,1
69,2
69,2
69,1
69,3
1,3
69,1
69,2
69,2
69,1
69,3
135,3
1,1
1,2
1,2
1,1
1,3
1,3
1,1
1,2
1,2
1,1
1,3
74,3
1,1
1,2
1,2
1,1
1,3
53,3
1,1
1,2
1,2
1,1
1,3
135,3
154,1
154,2
154,2
154,1
154,3
34,3
154,1
154,2
154,2
154,1
154,3
53,3
69,1
69,2
69,2
69,1
69,3
1,3
69,1
69,2
69,2
69,1
69,3
135,3
1,1
1,2
1,2
1,1
1,3
1,3
1,1
1,2
1,2
1,1
1,3
74,3
1,1
1,2
1,2
1,1
1,3
163,3
1,1
1,2
1,2
1,1
1,3
135,3
154,1
154,2
154,2
154,1
154,3
34,3
154,1
154,2
154,2
154,1
154,3
53,3
69,1
69,2
69,2
69,1
69,3
1,3
69,1
69,2
69,2
69,1
69,3
135,3
1,1
1,2
1,2
1,1
1,3
1,3
1,1
1,2
1,2
1,1
1,3
74,3
1,1
1,2
1,2
1,1
1,3
53,3
1,1
1,2
1,2
1,1
1,3
135,3
154,1
154,2
154,2
154,1
154,3
34,3
154,1
154,2
154,2
154,1
154,3
53,3
69,1
69,2
69,2
69,1
69,3
1,3
69,1
69,2
69,2
69,1
69,3
135,3
1,1
1,2
1,2
1,1
1,3
1,3
1,1
1,2
1,2
1,1
1,3
74,3
1,1
1,2
1,2
1,1
1,3
163,3
1,1
1,2
1,2
1,1
1,3
135,3
154,1
154,2
154,2
154,1
154,3
34,3
154,1
154,2
154,2
154,1
154,3
53,3
69,1
69,2
69,2
69,1
69,3
1,3
69,1
69,2
69,2
69,1
69,3
149,4
144,4
144,4
144,4
144,4
144,4
163,4
144,4
144,4
144,4
144,4
144,4
45,4
144,4
144,4
144,4
144,4
144,4
56,9
53,4
45,4
53,4
149,4
69,4
69,4
69,4
69,4
69,4
149,4
69,4
69,4
69,4
69,4
69,4
149,4
69,4
69,4
69,4
69,4
69,4
165,9
53,4
45,4
53,4
149,4
144,4
144,4
144,4
144,4
144,4
163,4
144,4
144,4
144,4
144,4
144,4
45,4
144,4
144,4
144,4
144,4
144,4
56,9
53,4
45,4
53,4
149,4
69,4
69,4
69,4
69,4
69,4
149,4
69,4
69,4
69,4
69,4
69,4
149,4
69,4
69,4
69,4
69,4
69,4
165,9
53,4
45,4
53,4
149,4
144,4
144,4
144,4
144,4
144,4
163,4
144,4
144,4
144,4
144,4
144,4
45,4
144,4
144,4
144,4
144,4
144,4
56,9
53,4
45,4
53,4
149,4
69,4
69,4
69,4
69,4
69,4
149,4
69,4
69,4
69,4
69,4
69,4
149,4
69,4
69,4
69,4
69,4
69,4
165,9
53,4
45,4
53,4
149,4
144,4
144,4
144,4
144,4
144,4
163,4
144,4
144,4
144,4
144,4
144,4
45,4
144,4
144,4
144,4
144,4
144,4
56,9
53,4
45,4
53,4
149,4
69,4
69,4
69,4
69,4
69,4
149,4
69,4
69,4
69,4
69,4
69,4
149,4
69,4
69,4
69,4
69,4
69,4
165,9
53,4
45,4
53,4
163,4
18,4
18,4
135,4
18,4
18,4
194,4
18,4
18,4
18,4
135,4
18,4
163,4
185,4
185,4
135,4
185,4
185,4
194,4
185,4
185,4
185,4
135,4
185,4
163,4
18,4
18,4
135,4
18,4
18,4
194,4
18,4
18,4
18,4
135,4
18,4
163,4
185,4
185,4
135,4
185,4
185,4
194,4
185,4
185,4
185,4
135,4
185,4
163,4
18,4
18,4
135,4
18,4
18,4
194,4
18,4
18,4
18,4
135,4
18,4
163,4
185,4
185,4
135,4
185,4
185,4
194,4
185,4
185,4
185,4
135,4
185,4
163,4
18,4
18,4
135,4
18,4
18,4
194,4
18,4
18,4
18,4
135,4
18,4
163,4
185,4
185,4
135,4
185,4
185,4
195,4
206,13
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
131,3
96,6
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
131,3
96,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
131,3
96,6
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
131,3
96,39
12,3
12,3
12,21
63,6
63,12
28,6
199,6
12,6
17,6
17,23
74,21
122,21
53,6
74,26
74,21
122,15
163,6
122,6
74,28
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
22,9
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
5,9
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
158,9
69,4
69,4
69,4
57,9
69,4
69,4
69,4
76,9
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
22,9
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
5,9
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
158,9
69,4
69,4
69,4
57,9
69,4
69,4
69,4
76,9
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
22,9
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
5,9
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
158,9
69,4
69,4
69,4
57,9
69,4
69,4
69,4
76,9
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
22,9
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
5,9
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
69,4
158,9
69,4
69,4
69,4
57,9
69,4
69,4
69,4
76,9
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
136,9
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
136,9
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
136,9
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
136,9
206,37
135,3
1,1
1,2
1,2
1,1
1,3
1,3
1,1
1,2
1,2
1,1
1,3
74,3
1,1
1,2
1,2
1,1
1,3
163,3
1,1
1,2
1,2
1,1
1,3
135,3
154,1
154,2
154,2
154,1
154,3
34,3
154,1
154,2
154,2
154,1
154,3
53,3
69,1
69,2
69,2
69,1
69,3
1,3
69,1
69,2
69,2
69,1
69,3
135,3
1,1
1,2
1,2
1,1
1,3
1,3
1,1
1,2
1,2
1,1
1,3
74,3
1,1
1,2
1,2
1,1
1,3
53,3
1,1
1,2
1,2
1,1
1,3
135,3
154,1
154,2
154,2
154,1
154,3
34,3
154,1
154,2
154,2
154,1
154,3
53,3
69,1
69,2
69,2
69,1
69,3
1,3
69,1
69,2
69,2
69,1
69,3
135,3
1,1
1,2
1,2
1,1
1,3
1,3
1,1
1,2
1,2
1,1
1,3
74,3
1,1
1,2
1,2
1,1
1,3
163,3
1,1
1,2
1,2
1,1
1,3
135,3
154,1
154,2
154,2
154,1
154,3
34,3
154,1
154,2
154,2
154,1
154,3
53,3
69,1
69,2
69,2
69,1
69,3
1,3
69,1
69,2
69,2
69,1
69,3
135,3
1,1
1,2
1,2
1,1
1,3
1,3
1,1
1,2
1,2
1,1
1,3
74,3
1,1
1,2
1,2
1,1
1,3
53,3
1,1
1,2
1,2
1,1
1,3
135,3
154,1
154,2
154,2
154,1
154,3
34,3
154,1
154,2
154,2
154,1
154,3
53,3
69,1
69,2
69,2
69,1
69,3
1,3
69,1
69,2
69,2
69,1
69,3
135,3
1,1
1,2
1,2
1,1
1,3
1,3
1,1
1,2
1,2
1,1
1,3
74,3
1,1
1,2
1,2
1,1
1,3
163,3
1,1
1,2
1,2
1,1
1,3
135,3
154,1
154,2
154,2
154,1
154,3
34,3
154,1
154,2
154,2
154,1
154,3
53,3
69,1
69,2
69,2
69,1
69,3
1,3
69,1
69,2
69,2
69,1
69,3
149,4
144,4
144,4
144,4
144,4
144,4
163,4
144,4
144,4
144,4
144,4
144,4
45,4
144,4
144,4
144,4
144,4
144,4
56,9
53,4
45,4
53,4
149,4
69,4
69,4
69,4
69,4
69,4
149,4
69,4
69,4
69,4
69,4
69,4
149,4
69,4
69,4
69,4
69,4
69,4
165,9
53,4
45,4
53,4
149,4
144,4
144,4
144,4
144,4
144,4
163,4
144,4
144,4
144,4
144,4
144,4
45,4
144,4
144,4
144,4
144,4
144,4
56,9
53,4
45,4
53,4
149,4
69,4
69,4
69,4
69,4
69,4
149,4
69,4
69,4
69,4
69,4
69,4
149,4
69,4
69,4
69,4
69,4
69,4
165,9
53,4
45,4
53,4
149,4
144,4
144,4
144,4
144,4
144,4
163,4
144,4
144,4
144,4
144,4
144,4
45,4
144,4
144,4
144,4
144,4
144,4
56,9
53,4
45,4
53,4
149,4
69,4
69,4
69,4
69,4
69,4
149,4
69,4
69,4
69,4
69,4
69,4
149,4
69,4
69,4
69,4
69,4
69,4
165,9
53,4
45,4
53,4
149,4
144,4
144,4
144,4
144,4
144,4
163,4
144,4
144,4
144,4
144,4
144,4
45,4
144,4
144,4
144,4
144,4
144,4
56,9
53,4
45,4
53,4
149,4
69,4
69,4
69,4
69,4
69,4
149,4
69,4
69,4
69,4
69,4
69,4
149,4
69,4
69,4
69,4
69,4
69,4
165,9
53,4
45,4
53,4
163,4
18,4
18,4
135,4
18,4
18,4
194,4
18,4
18,4
18,4
135,4
18,4
163,4
185,4
185,4
135,4
185,4
185,4
194,4
185,4
185,4
185,4
135,4
185,4
163,4
18,4
18,4
135,4
18,4
18,4
194,4
18,4
18,4
18,4
135,4
18,4
163,4
185,4
185,4
135,4
185,4
185,4
194,4
185,4
185,4
185,4
135,4
185,4
163,4
18,4
18,4
135,4
18,4
18,4
194,4
18,4
18,4
18,4
135,4
18,4
163,4
185,4
185,4
135,4
185,4
185,4
194,4
185,4
185,4
185,4
135,4
185,4
163,4
18,4
18,4
135,4
18,4
18,4
194,4
18,4
18,4
18,4
135,4
18,4
163,4
185,4
185,4
135,4
185,4
185,4
195,4
206,13
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
131,3
96,6
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
131,3
96,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
206,10
69,3
92,3
18,3
34,3
131,3
96,3
206,6
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
131,3
96,6
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
92,3
18,3
34,3
92,3
131,3
18,3
92,3
69,3
131,3
18,3
34,3
92,3
