Pitch,Durations
11,3
18,3
3,3
5,3
15,3
18,3
3,3
30,3
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
30,3
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
30,31
11,18
18,17
22,5
11,22
11,18
18,14
22,5
18,5
11,22
11,18
15,14
22,5
15,5
11,22
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
3,8
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
1,8
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
22,8
11,4
11,4
11,4
9,8
11,4
11,4
11,4
13,8
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
3,8
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
1,8
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
22,8
11,4
11,4
11,4
9,8
11,4
11,4
11,4
13,8
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
3,8
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
1,8
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
22,8
11,4
11,4
11,4
9,8
11,4
11,4
11,4
13,8
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
3,8
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
1,8
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
22,8
11,4
11,4
11,4
9,8
11,4
11,4
11,4
13,8
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
19,8
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
19,8
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
19,8
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
19,8
30,28
19,3
1,3
1,3
1,3
1,3
1,3
1,2
1,1
1,3
13,3
1,3
1,2
1,1
1,3
23,3
1,3
1,2
1,1
1,3
19,3
22,3
22,2
22,1
22,3
5,3
22,3
22,2
22,1
22,3
9,3
11,3
11,3
11,3
1,3
11,3
11,2
11,1
11,3
19,3
1,3
1,3
1,3
1,3
1,3
1,2
1,1
1,3
13,3
1,3
1,2
1,1
1,3
9,3
1,3
1,2
1,1
1,3
19,3
22,3
22,2
22,1
22,3
5,3
22,3
22,2
22,1
22,3
9,3
11,3
11,3
11,3
1,3
11,3
11,2
11,1
11,3
19,3
1,3
1,3
1,3
1,3
1,3
1,2
1,1
1,3
13,3
1,3
1,2
1,1
1,3
23,3
1,3
1,2
1,1
1,3
19,3
22,3
22,2
22,1
22,3
5,3
22,3
22,2
22,1
22,3
9,3
11,3
11,3
11,3
1,3
11,3
11,2
11,1
11,3
19,3
1,3
1,3
1,3
1,3
1,3
1,2
1,1
1,3
13,3
1,3
1,2
1,1
1,3
9,3
1,3
1,2
1,1
1,3
19,3
22,3
22,2
22,1
22,3
5,3
22,3
22,2
22,1
22,3
9,3
11,3
11,3
11,3
1,3
11,3
11,2
11,1
11,3
19,3
1,3
1,3
1,3
1,3
1,3
1,2
1,1
1,3
13,3
1,3
1,2
1,1
1,3
23,3
1,3
1,2
1,1
1,3
19,3
22,3
22,2
22,1
22,3
5,3
22,3
22,2
22,1
22,3
9,3
11,3
11,3
11,3
1,3
11,3
11,2
11,1
11,3
21,4
20,4
20,4
20,4
20,4
20,4
23,4
20,4
20,4
20,4
20,4
20,4
6,4
20,4
20,4
20,4
20,4
20,4
9,8
9,4
6,4
9,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
23,8
9,4
6,4
9,4
21,4
20,4
20,4
20,4
20,4
20,4
23,4
20,4
20,4
20,4
20,4
20,4
6,4
20,4
20,4
20,4
20,4
20,4
9,8
9,4
6,4
9,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
23,8
9,4
6,4
9,4
21,4
20,4
20,4
20,4
20,4
20,4
23,4
20,4
20,4
20,4
20,4
20,4
6,4
20,4
20,4
20,4
20,4
20,4
9,8
9,4
6,4
9,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
23,8
9,4
6,4
9,4
21,4
20,4
20,4
20,4
20,4
20,4
23,4
20,4
20,4
20,4
20,4
20,4
6,4
20,4
20,4
20,4
20,4
20,4
9,8
9,4
6,4
9,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
23,8
9,4
6,4
9,4
23,4
3,4
3,4
19,4
3,4
3,4
29,4
3,4
3,4
3,4
19,4
3,4
23,4
26,4
26,4
19,4
26,4
26,4
29,4
26,4
26,4
26,4
19,4
26,4
23,4
3,4
3,4
19,4
3,4
3,4
29,4
3,4
3,4
3,4
19,4
3,4
23,4
26,4
26,4
19,4
26,4
26,4
29,4
26,4
26,4
26,4
19,4
26,4
23,4
3,4
3,4
19,4
3,4
3,4
29,4
3,4
3,4
3,4
19,4
3,4
23,4
26,4
26,4
19,4
26,4
26,4
29,4
26,4
26,4
26,4
19,4
26,4
23,4
3,4
3,4
19,4
3,4
3,4
29,4
3,4
3,4
3,4
19,4
3,4
23,4
26,4
26,4
19,4
26,4
26,4
29,4
30,12
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
30,3
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
30,3
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
30,3
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
19,3
30,13
13,3
30,7
9,3
30,7
27,3
30,11
11,3
11,4
11,4
11,4
11,8
19,3
1,3
1,3
1,3
1,3
1,3
1,2
1,1
1,3
13,3
1,3
1,2
1,1
1,3
23,3
1,3
1,2
1,1
1,3
19,3
22,3
22,2
22,1
22,3
5,3
22,3
22,2
22,1
22,3
9,3
11,3
11,3
11,3
1,3
11,3
11,2
11,1
11,3
19,3
1,3
1,3
1,3
1,3
1,3
1,2
1,1
1,3
13,3
1,3
1,2
1,1
1,3
9,3
1,3
1,2
1,1
1,3
19,3
22,3
22,2
22,1
22,3
5,3
22,3
22,2
22,1
22,3
9,3
11,3
11,3
11,3
1,3
11,3
11,2
11,1
11,3
19,3
1,3
1,3
1,3
1,3
1,3
1,2
1,1
1,3
13,3
1,3
1,2
1,1
1,3
23,3
1,3
1,2
1,1
1,3
19,3
22,3
22,2
22,1
22,3
5,3
22,3
22,2
22,1
22,3
9,3
11,3
11,3
11,3
1,3
11,3
11,2
11,1
11,3
19,3
1,3
1,3
1,3
1,3
1,3
1,2
1,1
1,3
13,3
1,3
1,2
1,1
1,3
9,3
1,3
1,2
1,1
1,3
19,3
22,3
22,2
22,1
22,3
5,3
22,3
22,2
22,1
22,3
9,3
11,3
11,3
11,3
1,3
11,3
11,2
11,1
11,3
19,3
1,3
1,3
1,3
1,3
1,3
1,2
1,1
1,3
13,3
1,3
1,2
1,1
1,3
23,3
1,3
1,2
1,1
1,3
19,3
22,3
22,2
22,1
22,3
5,3
22,3
22,2
22,1
22,3
9,3
11,3
11,3
11,3
1,3
11,3
11,2
11,1
11,3
21,4
20,4
20,4
20,4
20,4
20,4
23,4
20,4
20,4
20,4
20,4
20,4
6,4
20,4
20,4
20,4
20,4
20,4
9,8
9,4
6,4
9,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
23,8
9,4
6,4
9,4
21,4
20,4
20,4
20,4
20,4
20,4
23,4
20,4
20,4
20,4
20,4
20,4
6,4
20,4
20,4
20,4
20,4
20,4
9,8
9,4
6,4
9,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
23,8
9,4
6,4
9,4
21,4
20,4
20,4
20,4
20,4
20,4
23,4
20,4
20,4
20,4
20,4
20,4
6,4
20,4
20,4
20,4
20,4
20,4
9,8
9,4
6,4
9,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
23,8
9,4
6,4
9,4
21,4
20,4
20,4
20,4
20,4
20,4
23,4
20,4
20,4
20,4
20,4
20,4
6,4
20,4
20,4
20,4
20,4
20,4
9,8
9,4
6,4
9,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
23,8
9,4
6,4
9,4
23,4
3,4
3,4
19,4
3,4
3,4
29,4
3,4
3,4
3,4
19,4
3,4
23,4
26,4
26,4
19,4
26,4
26,4
29,4
26,4
26,4
26,4
19,4
26,4
23,4
3,4
3,4
19,4
3,4
3,4
29,4
3,4
3,4
3,4
19,4
3,4
23,4
26,4
26,4
19,4
26,4
26,4
29,4
26,4
26,4
26,4
19,4
26,4
23,4
3,4
3,4
19,4
3,4
3,4
29,4
3,4
3,4
3,4
19,4
3,4
23,4
26,4
26,4
19,4
26,4
26,4
29,4
26,4
26,4
26,4
19,4
26,4
23,4
3,4
3,4
19,4
3,4
3,4
29,4
3,4
3,4
3,4
19,4
3,4
23,4
26,4
26,4
19,4
26,4
26,4
29,4
30,12
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
30,3
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
30,3
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
30,3
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
30,31
11,18
18,17
22,5
11,22
11,18
18,14
22,5
18,5
11,22
11,18
15,14
22,5
15,5
11,22
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
3,8
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
1,8
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
22,8
11,4
11,4
11,4
9,8
11,4
11,4
11,4
13,8
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
3,8
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
1,8
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
22,8
11,4
11,4
11,4
9,8
11,4
11,4
11,4
13,8
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
3,8
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
1,8
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
22,8
11,4
11,4
11,4
9,8
11,4
11,4
11,4
13,8
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
3,8
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
1,8
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
22,8
11,4
11,4
11,4
9,8
11,4
11,4
11,4
13,8
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
19,8
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
19,8
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
19,8
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
19,8
30,28
19,3
1,3
1,3
1,3
1,3
1,3
1,2
1,1
1,3
13,3
1,3
1,2
1,1
1,3
23,3
1,3
1,2
1,1
1,3
19,3
22,3
22,2
22,1
22,3
5,3
22,3
22,2
22,1
22,3
9,3
11,3
11,3
11,3
1,3
11,3
11,2
11,1
11,3
19,3
1,3
1,3
1,3
1,3
1,3
1,2
1,1
1,3
13,3
1,3
1,2
1,1
1,3
9,3
1,3
1,2
1,1
1,3
19,3
22,3
22,2
22,1
22,3
5,3
22,3
22,2
22,1
22,3
9,3
11,3
11,3
11,3
1,3
11,3
11,2
11,1
11,3
19,3
1,3
1,3
1,3
1,3
1,3
1,2
1,1
1,3
13,3
1,3
1,2
1,1
1,3
23,3
1,3
1,2
1,1
1,3
19,3
22,3
22,2
22,1
22,3
5,3
22,3
22,2
22,1
22,3
9,3
11,3
11,3
11,3
1,3
11,3
11,2
11,1
11,3
19,3
1,3
1,3
1,3
1,3
1,3
1,2
1,1
1,3
13,3
1,3
1,2
1,1
1,3
9,3
1,3
1,2
1,1
1,3
19,3
22,3
22,2
22,1
22,3
5,3
22,3
22,2
22,1
22,3
9,3
11,3
11,3
11,3
1,3
11,3
11,2
11,1
11,3
19,3
1,3
1,3
1,3
1,3
1,3
1,2
1,1
1,3
13,3
1,3
1,2
1,1
1,3
23,3
1,3
1,2
1,1
1,3
19,3
22,3
22,2
22,1
22,3
5,3
22,3
22,2
22,1
22,3
9,3
11,3
11,3
11,3
1,3
11,3
11,2
11,1
11,3
21,4
20,4
20,4
20,4
20,4
20,4
23,4
20,4
20,4
20,4
20,4
20,4
6,4
20,4
20,4
20,4
20,4
20,4
9,8
9,4
6,4
9,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
23,8
9,4
6,4
9,4
21,4
20,4
20,4
20,4
20,4
20,4
23,4
20,4
20,4
20,4
20,4
20,4
6,4
20,4
20,4
20,4
20,4
20,4
9,8
9,4
6,4
9,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
23,8
9,4
6,4
9,4
21,4
20,4
20,4
20,4
20,4
20,4
23,4
20,4
20,4
20,4
20,4
20,4
6,4
20,4
20,4
20,4
20,4
20,4
9,8
9,4
6,4
9,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
23,8
9,4
6,4
9,4
21,4
20,4
20,4
20,4
20,4
20,4
23,4
20,4
20,4
20,4
20,4
20,4
6,4
20,4
20,4
20,4
20,4
20,4
9,8
9,4
6,4
9,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
21,4
11,4
11,4
11,4
11,4
11,4
23,8
9,4
6,4
9,4
23,4
3,4
3,4
19,4
3,4
3,4
29,4
3,4
3,4
3,4
19,4
3,4
23,4
26,4
26,4
19,4
26,4
26,4
29,4
26,4
26,4
26,4
19,4
26,4
23,4
3,4
3,4
19,4
3,4
3,4
29,4
3,4
3,4
3,4
19,4
3,4
23,4
26,4
26,4
19,4
26,4
26,4
29,4
26,4
26,4
26,4
19,4
26,4
23,4
3,4
3,4
19,4
3,4
3,4
29,4
3,4
3,4
3,4
19,4
3,4
23,4
26,4
26,4
19,4
26,4
26,4
29,4
26,4
26,4
26,4
19,4
26,4
23,4
3,4
3,4
19,4
3,4
3,4
29,4
3,4
3,4
3,4
19,4
3,4
23,4
26,4
26,4
19,4
26,4
26,4
29,4
30,12
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
30,3
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
30,3
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
30,9
11,3
15,3
3,3
5,3
18,3
15,3
30,5
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
30,3
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
15,3
3,3
5,3
15,3
18,3
3,3
15,3
11,3
18,3
3,3
5,3
15,3
18,3
