Pitch,Durations
26,6
13,10
11,6
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
9,6
26,6
13,19
26,28
26,28
20,28
6,28
26,28
26,28
20,28
6,28
20,21
6,21
26,21
13,21
1,21
13,21
6,28
20,21
6,21
26,21
13,21
1,21
13,21
6,28
11,5
11,5
11,5
13,17
11,5
11,5
11,5
6,17
11,5
11,5
11,5
13,17
1,8
24,8
15,8
22,8
11,5
11,5
11,5
13,17
11,5
11,5
11,5
6,17
17,5
14,5
10,5
4,5
2,5
29,5
21,5
16,5
13,5
9,5
13,5
16,5
21,5
29,5
2,5
4,5
11,5
11,5
11,5
13,17
11,5
11,5
11,5
6,17
11,5
11,5
11,5
13,17
1,8
24,8
15,8
22,8
11,5
11,5
11,5
13,17
11,5
11,5
11,5
6,17
11,5
11,5
11,5
13,17
1,8
24,8
15,8
22,8
26,14
26,14
29,11
9,11
13,8
22,11
26,11
13,8
15,11
26,11
16,8
26,14
26,14
29,11
9,11
3,8
22,11
26,11
13,8
15,11
26,11
16,8
9,7
6,7
16,7
9,24
6,21
9,11
30,5
16,11
30,5
9,7
6,7
16,7
9,24
6,21
9,11
30,5
16,11
30,5
26,14
26,14
29,11
9,11
13,8
22,11
26,11
13,8
15,11
26,11
16,8
26,14
26,14
29,11
9,11
3,8
22,11
26,11
13,8
15,11
26,11
16,8
26,14
16,14
25,14
9,14
13,14
4,14
3,14
23,14
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
26,14
16,14
25,14
9,14
13,14
4,14
3,14
23,14
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
26,14
16,14
25,14
9,14
13,14
4,14
3,14
23,14
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
26,14
16,14
25,14
9,14
13,14
4,14
3,14
23,14
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
26,14
16,14
25,14
9,14
13,14
4,14
3,14
23,14
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
26,14
16,14
25,14
9,14
13,14
4,14
3,14
23,14
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
26,14
16,14
25,14
9,14
13,14
4,14
3,14
11,5
11,5
11,5
13,17
11,5
11,5
11,5
6,17
11,5
11,5
11,5
13,17
1,8
24,8
15,8
22,8
11,5
11,5
11,5
13,17
11,5
11,5
11,5
6,17
17,5
14,5
10,5
4,5
2,5
29,5
21,5
16,5
13,5
9,5
13,5
16,5
21,5
29,5
2,5
4,5
11,5
11,5
11,5
13,17
11,5
11,5
11,5
6,17
11,5
11,5
11,5
13,17
1,8
24,8
15,8
22,8
11,5
11,5
11,5
13,17
11,5
11,5
11,5
6,17
11,5
11,5
11,5
13,17
1,8
24,8
15,8
22,8
26,14
26,14
29,11
9,11
13,8
22,11
26,11
13,8
15,11
26,11
16,8
26,14
26,14
29,11
9,11
3,8
22,11
26,11
13,8
15,11
26,11
16,8
9,7
6,7
16,7
9,24
6,21
9,11
30,5
16,11
30,5
9,7
6,7
16,7
9,24
6,21
9,11
30,5
16,11
30,5
26,14
26,14
29,11
9,11
13,8
22,11
26,11
13,8
15,11
26,11
16,8
26,14
26,14
29,11
9,11
3,8
22,11
26,11
13,8
15,11
26,11
16,8
26,14
16,14
25,14
9,14
13,14
4,14
3,14
23,14
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
26,14
16,14
25,14
9,14
13,14
4,14
3,14
23,14
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
26,14
16,14
25,14
9,14
13,14
4,14
3,14
23,14
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
11,32
15,32
11,6
11,6
11,6
11,6
13,6
13,6
11,6
11,6
11,6
11,6
9,6
24,6
16,6
26,6
13,10
11,6
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
9,6
26,6
13,16
30,8
11,6
11,6
11,6
11,6
11,6
11,6
13,6
13,6
11,6
11,6
9,6
24,6
16,6
26,6
13,10
11,6
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
9,6
26,6
13,19
11,6
11,6
11,6
11,6
11,6
11,6
13,6
13,6
11,6
11,6
9,6
24,6
16,6
26,6
13,10
11,6
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
9,6
26,6
13,19
11,6
11,6
11,6
11,6
11,6
11,6
13,6
13,6
11,6
11,6
9,6
24,6
16,6
26,6
13,10
11,6
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
9,6
26,6
13,19
26,28
26,28
20,28
6,28
26,28
26,28
20,28
6,28
20,21
6,21
26,21
13,21
1,21
13,21
6,28
20,21
6,21
26,21
13,21
1,21
13,21
6,28
11,5
11,5
11,5
13,17
11,5
11,5
11,5
6,17
11,5
11,5
11,5
13,17
1,8
24,8
15,8
22,8
11,5
11,5
11,5
13,17
11,5
11,5
11,5
6,17
17,5
14,5
10,5
4,5
2,5
29,5
21,5
16,5
13,5
9,5
13,5
16,5
21,5
29,5
2,5
4,5
11,5
11,5
11,5
13,17
11,5
11,5
11,5
6,17
11,5
11,5
11,5
13,17
1,8
24,8
15,8
22,8
11,5
11,5
11,5
13,17
11,5
11,5
11,5
6,17
11,5
11,5
11,5
13,17
1,8
24,8
15,8
22,8
26,14
26,14
29,11
9,11
13,8
22,11
26,11
13,8
15,11
26,11
16,8
26,14
26,14
29,11
9,11
3,8
22,11
26,11
13,8
15,11
26,11
16,8
9,7
6,7
16,7
9,24
6,21
9,11
30,5
16,11
30,5
9,7
6,7
16,7
9,24
6,21
9,11
30,5
16,11
30,5
26,14
26,14
29,11
9,11
13,8
22,11
26,11
13,8
15,11
26,11
16,8
26,14
26,14
29,11
9,11
3,8
22,11
26,11
13,8
15,11
26,11
16,8
26,14
16,14
25,14
9,14
13,14
4,14
3,14
23,14
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
26,14
16,14
25,14
9,14
13,14
4,14
3,14
23,14
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
26,14
16,14
25,14
9,14
13,14
4,14
3,14
23,14
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
26,14
16,14
25,14
9,14
13,14
4,14
3,14
23,14
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
26,14
16,14
25,14
9,14
13,14
4,14
3,14
23,14
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
26,14
16,14
25,14
9,14
13,14
4,14
3,14
23,14
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
4,5
13,5
26,5
26,5
2,5
13,5
26,5
26,5
4,5
13,5
26,5
26,5
4,5
13,5
2,5
30,5
26,14
16,14
25,14
9,14
13,14
4,14
3,14
