Pitch,Durations
206,9
204,6
204,6
204,6
204,9
204,6
206,9
143,6
143,6
143,6
91,9
52,9
143,40
32,4
17,4
204,4
168,4
49,4
12,4
150,4
58,4
23,4
6,4
194,4
149,18
17,7
17,7
17,27
206,5
138,4
150,4
199,4
12,4
49,4
86,4
140,4
152,4
204,4
17,4
49,4
150,4
52,25
68,3
52,4
52,4
52,4
42,4
17,4
152,4
42,9
17,9
152,4
184,4
86,4
152,4
39,4
86,4
181,4
39,4
167,4
181,3
138,3
199,3
181,3
138,3
150,3
181,3
80,3
150,3
138,3
150,3
181,3
12,15
150,6
80,6
150,6
58,6
6,6
149,6
149,6
135,6
45,4
53,4
34,4
1,9
144,15
149,3
6,3
194,3
199,3
150,3
138,3
80,3
48,3
37,3
150,3
12,3
39,3
49,3
140,1
50,2
63,3
39,3
49,3
140,3
63,3
86,3
168,3
152,3
17,3
42,3
17,3
152,3
42,3
52,3
143,3
52,3
42,3
17,3
152,3
140,3
129,6
49,6
63,3
49,3
140,6
152,6
17,9
42,4
42,4
42,4
42,4
42,4
42,4
42,15
184,4
86,4
152,4
49,4
140,4
39,4
86,4
12,4
39,4
150,4
39,4
12,4
140,7
184,7
17,7
42,7
52,7
143,7
143,37
131,6
34,6
131,9
158,15
36,12
57,9
191,12
1,6
135,6
1,9
22,15
137,12
165,9
57,12
1,6
135,6
1,9
22,15
137,12
165,9
57,12
131,6
34,6
131,9
158,15
36,12
57,9
191,12
131,6
34,6
131,9
158,15
36,12
57,9
191,12
1,6
135,6
1,9
22,15
137,12
165,9
57,12
1,6
135,6
1,9
22,15
137,12
165,9
57,12
53,21
139,19
135,12
194,9
149,6
194,6
149,15
135,6
122,19
108,15
204,6
199,6
199,6
63,6
199,6
63,6
86,23
80,9
58,6
37,9
58,6
6,9
149,6
135,9
45,6
34,12
45,3
206,3
34,3
206,3
170,3
206,3
144,3
206,17
144,9
206,9
134,6
134,6
206,6
37,6
58,6
80,12
178,6
178,6
178,6
178,6
206,9
178,6
178,6
178,6
178,6
206,6
37,6
58,6
138,12
134,6
134,6
134,6
134,6
206,9
134,6
134,6
134,6
134,6
206,6
37,6
58,6
80,12
178,6
178,6
178,6
178,6
206,9
178,6
178,6
178,6
178,6
206,6
37,6
58,6
138,12
138,6
39,6
63,6
63,19
140,6
86,3
140,3
86,6
63,6
39,15
138,6
39,6
63,6
63,19
63,6
39,6
12,6
199,6
150,15
138,6
39,6
63,6
63,19
140,6
86,3
140,3
86,6
63,6
39,15
138,6
39,6
63,6
63,19
63,6
39,6
12,6
199,6
150,15
134,25
133,3
163,26
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
34,9
134,29
163,15
74,9
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
34,9
134,25
133,3
163,26
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
34,9
134,29
163,15
74,9
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
206,43
131,6
34,6
131,9
158,15
36,12
57,9
191,12
131,6
34,6
131,9
158,15
36,12
57,9
191,12
1,6
135,6
1,9
22,15
137,12
165,9
57,12
1,6
135,6
1,9
22,15
137,12
165,9
57,12
131,6
34,6
131,9
158,15
36,12
57,9
191,12
131,6
34,6
131,9
158,15
36,12
57,9
191,12
1,6
135,6
1,9
22,15
137,12
165,9
57,12
1,6
135,6
1,9
22,15
137,12
165,9
57,12
138,6
125,6
58,6
37,6
194,3
135,3
140,6
39,6
138,6
199,6
86,6
204,6
67,6
152,6
63,6
42,6
140,6
39,6
17,6
129,6
12,6
39,33
39,9
63,6
63,12
140,6
39,6
140,6
152,19
140,6
39,6
140,6
42,6
42,21
42,6
206,3
17,6
206,3
152,6
206,3
204,12
206,3
134,6
134,6
134,6
134,6
206,9
134,6
134,6
134,6
134,6
206,6
37,6
58,6
80,12
178,6
178,6
178,6
178,6
206,9
178,6
178,6
178,6
178,6
206,6
37,6
58,6
138,12
134,6
134,6
134,6
134,6
206,9
134,6
134,6
134,6
134,6
206,6
37,6
58,6
80,12
178,6
178,6
178,6
178,6
206,9
178,6
178,6
178,6
178,6
206,6
37,6
58,6
138,12
138,6
39,6
63,6
63,19
140,6
86,3
140,3
86,6
63,6
39,15
138,6
39,6
63,6
63,19
63,6
39,6
12,6
199,6
150,15
138,6
39,6
63,6
63,19
140,6
86,3
140,3
86,6
63,6
39,15
138,6
39,6
63,6
63,19
63,6
39,6
12,6
199,6
150,15
134,25
133,3
163,26
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
34,9
134,29
163,15
74,9
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
34,9
134,25
133,3
163,26
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
34,9
134,29
163,15
74,9
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
34,9
134,33
170,6
185,12
158,15
135,6
37,6
58,9
206,15
185,6
170,12
134,33
170,6
185,12
158,15
135,6
37,6
58,9
206,15
185,6
170,12
134,33
170,6
185,12
158,15
135,6
37,6
58,9
206,15
185,6
170,12
171,6
172,6
173,6
174,6
175,15
172,15
170,6
185,12
158,15
135,6
37,6
58,9
206,15
185,3
206,3
170,12
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
15,9
66,9
41,9
66,29
90,9
66,9
41,33
80,4
138,4
167,4
181,33
140,4
140,4
140,4
168,4
140,4
86,4
140,4
86,4
63,4
39,4
12,4
39,4
199,4
167,4
80,4
138,26
15,9
66,9
41,9
66,29
90,9
66,9
41,33
80,4
138,4
167,4
181,33
140,4
140,4
140,4
168,4
140,4
86,4
140,4
86,4
63,4
39,4
12,4
39,4
199,4
167,4
80,4
138,26
143,26
91,26
91,6
67,6
42,4
17,4
42,4
17,4
184,4
168,4
184,15
138,4
138,4
138,4
138,9
125,4
125,4
125,4
125,9
37,4
37,4
37,4
37,9
6,4
6,4
6,4
6,9
179,15
135,6
163,6
135,21
7,6
38,6
59,38
140,6
168,6
140,6
86,3
88,1
140,3
206,2
86,3
64,1
63,5
86,6
63,6
39,15
63,9
39,26
39,3
63,3
39,3
12,3
39,3
181,3
12,3
39,3
63,3
39,3
181,3
12,3
181,3
167,3
138,3
80,3
138,3
80,3
58,3
37,3
6,3
37,3
6,3
179,3
37,3
179,3
163,3
135,3
53,3
74,3
135,42
206,29
152,6
152,6
152,6
140,9
152,6
206,9
204,6
204,6
204,6
204,9
204,6
206,9
143,6
143,6
143,6
91,9
52,9
143,40
32,4
17,4
204,4
168,4
49,4
12,4
150,4
58,4
23,4
6,4
194,4
149,18
17,7
17,7
17,27
206,5
138,4
150,4
199,4
12,4
49,4
86,4
140,4
152,4
204,4
17,4
49,4
150,4
52,25
68,3
52,4
52,4
52,4
42,4
17,4
152,4
42,9
17,9
152,4
184,4
86,4
152,4
39,4
86,4
181,4
39,4
167,4
181,3
138,3
199,3
181,3
138,3
150,3
181,3
80,3
150,3
138,3
150,3
181,3
12,15
150,6
80,6
150,6
58,6
6,6
149,6
149,6
135,6
45,4
53,4
34,4
1,9
144,15
149,3
6,3
194,3
199,3
150,3
138,3
80,3
48,3
37,3
150,3
12,3
39,3
49,3
140,1
50,2
63,3
39,3
49,3
140,3
63,3
86,3
168,3
152,3
17,3
42,3
17,3
152,3
42,3
52,3
143,3
52,3
42,3
17,3
152,3
140,3
129,6
49,6
63,3
49,3
140,6
152,6
17,9
42,4
42,4
42,4
42,4
42,4
42,4
42,15
184,4
86,4
152,4
49,4
140,4
39,4
86,4
12,4
39,4
150,4
39,4
12,4
140,7
184,7
17,7
42,7
52,7
143,7
143,37
131,6
34,6
131,9
158,15
36,12
57,9
191,12
1,6
135,6
1,9
22,15
137,12
165,9
57,12
1,6
135,6
1,9
22,15
137,12
165,9
57,12
131,6
34,6
131,9
158,15
36,12
57,9
191,12
131,6
34,6
131,9
158,15
36,12
57,9
191,12
1,6
135,6
1,9
22,15
137,12
165,9
57,12
1,6
135,6
1,9
22,15
137,12
165,9
57,12
53,21
139,19
135,12
194,9
149,6
194,6
149,15
135,6
122,19
108,15
204,6
199,6
199,6
63,6
199,6
63,6
86,23
80,9
58,6
37,9
58,6
6,9
149,6
135,9
45,6
34,12
45,3
206,3
34,3
206,3
170,3
206,3
144,3
206,17
144,9
206,9
134,6
134,6
206,6
37,6
58,6
80,12
178,6
178,6
178,6
178,6
206,9
178,6
178,6
178,6
178,6
206,6
37,6
58,6
138,12
134,6
134,6
134,6
134,6
206,9
134,6
134,6
134,6
134,6
206,6
37,6
58,6
80,12
178,6
178,6
178,6
178,6
206,9
178,6
178,6
178,6
178,6
206,6
37,6
58,6
138,12
138,6
39,6
63,6
63,19
140,6
86,3
140,3
86,6
63,6
39,15
138,6
39,6
63,6
63,19
63,6
39,6
12,6
199,6
150,15
138,6
39,6
63,6
63,19
140,6
86,3
140,3
86,6
63,6
39,15
138,6
39,6
63,6
63,19
63,6
39,6
12,6
199,6
150,15
134,25
133,3
163,26
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
34,9
134,29
163,15
74,9
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
34,9
134,25
133,3
163,26
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
34,9
134,29
163,15
74,9
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
154,6
34,6
154,6
