Pitch,Durations
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
20,4
20,4
20,4
20,18
18,14
26,14
20,8
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,8
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,4
20,4
20,4
20,18
18,14
13,14
26,8
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
6,8
13,8
26,8
20,4
20,4
20,4
20,18
18,14
26,14
20,8
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,8
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,4
20,4
20,4
20,18
18,14
13,14
26,8
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
6,8
13,8
26,8
20,4
20,4
20,4
20,18
18,14
26,14
20,8
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,8
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,4
20,4
20,4
20,18
18,14
13,14
26,8
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
6,8
13,8
26,8
18,5
5,5
18,8
22,14
5,11
9,8
26,11
18,5
5,5
18,8
22,14
5,11
9,8
26,11
1,5
19,5
1,8
3,14
19,11
23,8
9,11
1,5
19,5
1,8
3,14
19,11
23,8
9,11
18,5
5,5
18,8
22,14
5,11
9,8
26,11
18,5
5,5
18,8
22,14
5,11
9,8
26,11
1,5
19,5
1,8
3,14
19,11
23,8
9,11
1,5
19,5
1,8
3,14
19,11
23,8
9,11
9,28
5,28
9,28
5,28
18,5
18,5
18,5
18,5
30,8
18,5
18,5
18,5
18,5
30,5
5,5
9,5
13,11
24,5
24,5
24,5
24,5
30,8
24,5
24,5
24,5
24,5
30,5
5,5
9,5
19,11
18,5
18,5
18,5
18,5
30,8
18,5
18,5
18,5
18,5
30,5
5,5
9,5
13,11
24,5
24,5
24,5
24,5
30,8
24,5
24,5
24,5
24,5
30,5
5,5
9,5
19,11
18,5
18,5
18,5
18,5
30,8
18,5
18,5
18,5
18,5
30,5
5,5
9,5
13,11
24,5
24,5
24,5
24,5
30,8
24,5
24,5
24,5
24,5
30,5
5,5
9,5
19,11
18,5
18,5
18,5
18,5
30,8
18,5
18,5
18,5
18,5
30,5
5,5
9,5
13,11
24,5
24,5
24,5
24,5
30,8
24,5
24,5
24,5
24,5
30,5
5,5
9,5
19,11
18,21
23,21
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
5,8
18,23
23,14
13,8
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
5,8
18,21
23,21
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
5,8
18,23
23,14
13,8
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
30,33
18,5
5,5
18,8
22,14
5,11
9,8
26,11
18,5
5,5
18,8
22,14
5,11
9,8
26,11
1,5
19,5
1,8
3,14
19,11
23,8
9,11
1,5
19,5
1,8
3,14
19,11
23,8
9,11
18,5
5,5
18,8
22,14
5,11
9,8
26,11
18,5
5,5
18,8
22,14
5,11
9,8
26,11
1,5
19,5
1,8
3,14
19,11
23,8
9,11
1,5
19,5
1,8
3,14
19,11
23,8
9,11
9,28
5,28
9,28
5,28
18,5
18,5
18,5
18,5
30,8
18,5
18,5
18,5
18,5
30,5
5,5
9,5
13,11
24,5
24,5
24,5
24,5
30,8
24,5
24,5
24,5
24,5
30,5
5,5
9,5
19,11
18,5
18,5
18,5
18,5
30,8
18,5
18,5
18,5
18,5
30,5
5,5
9,5
13,11
24,5
24,5
24,5
24,5
30,8
24,5
24,5
24,5
24,5
30,5
5,5
9,5
19,11
18,5
18,5
18,5
18,5
30,8
18,5
18,5
18,5
18,5
30,5
5,5
9,5
13,11
24,5
24,5
24,5
24,5
30,8
24,5
24,5
24,5
24,5
30,5
5,5
9,5
19,11
18,5
18,5
18,5
18,5
30,8
18,5
18,5
18,5
18,5
30,5
5,5
9,5
13,11
24,5
24,5
24,5
24,5
30,8
24,5
24,5
24,5
24,5
30,5
5,5
9,5
19,11
18,21
23,21
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
5,8
18,23
23,14
13,8
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
5,8
18,21
23,21
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
5,8
18,23
23,14
13,8
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
5,8
18,5
18,18
18,5
18,8
18,8
24,5
26,11
22,5
22,8
30,5
18,5
18,5
30,5
22,5
22,5
30,5
22,8
26,5
24,11
18,5
18,18
18,5
18,8
18,8
24,5
26,11
22,5
22,8
30,5
18,5
18,5
30,5
22,5
22,5
30,5
22,8
26,5
24,11
18,5
18,18
18,5
18,8
18,8
24,5
26,11
22,5
22,8
30,5
18,5
18,5
30,5
22,5
22,5
30,5
22,8
26,5
24,11
18,5
18,18
18,5
18,8
18,8
24,5
26,11
22,5
22,8
30,5
18,5
18,5
30,5
22,5
22,5
30,5
22,8
26,5
24,11
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
18,4
20,4
20,4
20,4
20,18
18,14
26,14
20,8
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,8
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,4
20,4
20,4
20,18
18,14
13,14
26,8
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
6,8
13,8
26,8
20,4
20,4
20,4
20,18
18,14
26,14
20,8
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,8
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,4
20,4
20,4
20,18
18,14
13,14
26,8
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
6,8
13,8
26,8
20,4
20,4
20,4
20,18
18,14
26,14
20,8
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,8
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,4
20,4
20,4
20,18
18,14
13,14
26,8
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
26,3
6,8
13,8
26,8
18,5
5,5
18,8
22,14
5,11
9,8
26,11
18,5
5,5
18,8
22,14
5,11
9,8
26,11
1,5
19,5
1,8
3,14
19,11
23,8
9,11
1,5
19,5
1,8
3,14
19,11
23,8
9,11
18,5
5,5
18,8
22,14
5,11
9,8
26,11
18,5
5,5
18,8
22,14
5,11
9,8
26,11
1,5
19,5
1,8
3,14
19,11
23,8
9,11
1,5
19,5
1,8
3,14
19,11
23,8
9,11
9,28
5,28
9,28
5,28
18,5
18,5
18,5
18,5
30,8
18,5
18,5
18,5
18,5
30,5
5,5
9,5
13,11
24,5
24,5
24,5
24,5
30,8
24,5
24,5
24,5
24,5
30,5
5,5
9,5
19,11
18,5
18,5
18,5
18,5
30,8
18,5
18,5
18,5
18,5
30,5
5,5
9,5
13,11
24,5
24,5
24,5
24,5
30,8
24,5
24,5
24,5
24,5
30,5
5,5
9,5
19,11
18,5
18,5
18,5
18,5
30,8
18,5
18,5
18,5
18,5
30,5
5,5
9,5
13,11
24,5
24,5
24,5
24,5
30,8
24,5
24,5
24,5
24,5
30,5
5,5
9,5
19,11
18,5
18,5
18,5
18,5
30,8
18,5
18,5
18,5
18,5
30,5
5,5
9,5
13,11
24,5
24,5
24,5
24,5
30,8
24,5
24,5
24,5
24,5
30,5
5,5
9,5
19,11
18,21
23,21
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
5,8
18,23
23,14
13,8
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
5,8
18,21
23,21
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
5,8
18,23
23,14
13,8
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
22,5
5,5
22,5
